;Scopy version,f4beeb1
;Exported on,Wednesday October 02/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,50000,20.6806,-0.383222
1,51586.1,20.661,-0.320326
2,53222.5,20.6667,-0.249881
3,54910.8,20.6554,-0.207576
4,56652.7,20.6698,0.048127
5,58449.8,20.6475,-0.182054
6,60304,20.6646,-0.276187
7,62216.9,20.6555,-0.67349
8,64190.6,20.6494,-0.264605
9,66226.8,20.6495,-0.378795
10,68327.7,20.6475,-0.435416
11,70495.2,20.6632,-0.122243
12,72731.4,20.6342,-0.110486
13,75038.6,20.6805,-0.606608
14,77419,20.7099,-0.151035
15,79874.8,20.6934,-0.45703
16,82408.6,20.6994,-0.505469
17,85022.8,20.7319,-0.18129
18,87719.9,20.7301,-0.431265
19,90502.5,20.747,-0.414962
20,93373.4,20.7288,-0.62657
21,96335.4,20.745,-0.0811876
22,99391.4,20.7537,-0.417318
23,102544,20.6184,-0.4598
24,105797,20.6321,-0.430857
25,109153,20.6494,-0.290715
26,112616,20.6569,-0.770481
27,116188,20.6271,-0.886485
28,119874,20.6406,-0.755843
29,123677,20.6478,-0.592241
30,127600,20.6492,-0.531542
31,131647,20.6323,-0.826626
32,135824,20.6355,-0.59404
33,140132,20.6283,-0.769401
34,144577,20.6345,-0.798556
35,149164,20.6304,-0.547922
36,153895,20.6413,-0.855352
37,158777,20.6594,-0.753493
38,163814,20.6447,-0.583044
39,169011,20.614,-0.992356
40,174372,20.6273,-1.12843
41,179903,20.609,-1.09354
42,185610,20.6091,-0.945231
43,191498,20.6308,-1.10887
44,197573,20.6147,-0.858012
45,203840,20.6209,-0.660634
46,210306,20.6109,-1.28572
47,216978,20.6311,-1.45179
48,223861,20.5851,-0.947205
49,230962,20.6176,-0.751383
50,238289,20.6175,-1.38774
51,245848,20.6112,-0.95037
52,253646,20.604,-1.51191
53,261692,20.5939,-1.19957
54,269994,20.5981,-0.895464
55,278559,20.5669,-1.81589
56,287395,20.5601,-1.63225
57,296512,20.5981,-0.982937
58,305918,20.5923,-1.35501
59,315622,20.603,-1.37031
60,325634,20.6022,-1.35531
61,335964,20.5911,-1.59753
62,346621,20.6164,-1.64977
63,357617,20.5972,-1.33643
64,368961,20.6227,-1.70635
65,380665,20.6217,-1.15995
66,392741,20.6181,-1.9539
67,405199,20.613,-2.25342
68,418053,20.6352,-1.43396
69,431314,20.6245,-2.23215
70,444996,20.6263,-1.56108
71,459112,20.6223,-2.74201
72,473676,20.6179,-2.77861
73,488702,20.6308,-1.99307
74,504205,20.6446,-2.83364
75,520199,20.5542,-2.78863
76,536701,20.6472,-2.3252
77,553726,20.6704,-2.82582
78,571291,20.6377,-3.46082
79,589414,20.6184,-3.4793
80,608111,20.6137,-3.12823
81,627402,20.6428,-2.82838
82,647304,20.6057,-2.81682
83,667838,20.5891,-3.03614
84,689023,20.6019,-3.62825
85,710880,20.6258,-3.48913
86,733431,20.6017,-3.29626
87,756696,20.5654,-3.79132
88,780700,20.5574,-3.71097
89,805466,20.5662,-3.76817
90,831017,20.6038,-3.66816
91,857378,20.5966,-3.37562
92,884576,20.6197,-4.55909
93,912636,20.6065,-4.00258
94,941587,20.6154,-4.32236
95,971456,20.5923,-4.89306
96,1.00227e+06,20.59,-4.22445
97,1.03407e+06,20.5727,-4.37719
98,1.06687e+06,20.56,-5.49045
99,1.10071e+06,20.5548,-5.77128
100,1.13563e+06,20.5954,-5.53224
101,1.17165e+06,20.5595,-5.23849
102,1.20882e+06,20.6178,-5.8381
103,1.24717e+06,20.595,-5.56469
104,1.28673e+06,20.5842,-5.66582
105,1.32755e+06,20.5985,-6.28179
106,1.36966e+06,20.5996,-6.69528
107,1.41311e+06,20.604,-6.45489
108,1.45793e+06,20.6206,-6.65984
109,1.50418e+06,20.5955,-7.04464
110,1.5519e+06,20.6527,-7.60809
111,1.60113e+06,20.6651,-7.23065
112,1.65192e+06,20.6428,-7.27141
113,1.70432e+06,20.6336,-8.20572
114,1.75838e+06,20.6567,-8.80105
115,1.81416e+06,20.6426,-8.8036
116,1.87171e+06,20.6702,-8.50931
117,1.93109e+06,20.6632,-9.59138
118,1.99234e+06,20.6778,-10.2797
119,2.05554e+06,20.7219,-9.89708
120,2.12075e+06,20.6752,-10.3213
121,2.18802e+06,20.7362,-9.97105
122,2.25743e+06,20.7174,-11.8673
123,2.32904e+06,20.7399,-11.0786
124,2.40293e+06,20.7117,-11.2718
125,2.47915e+06,20.7685,-12.0754
126,2.55779e+06,20.7351,-12.6866
127,2.63893e+06,20.7646,-13.1235
