;Scopy version,f4beeb1
;Exported on,Wednesday October 02/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,50000,20.5108,-0.0219577
1,51586.1,20.4795,-0.302857
2,53222.5,20.464,-0.102112
3,54910.8,20.4582,0.0382841
4,56652.7,20.4509,0.104191
5,58449.8,20.4704,-0.364708
6,60304,20.4505,-0.574633
7,62216.9,20.445,-0.41924
8,64190.6,20.4281,-0.262003
9,66226.8,20.4014,-0.23561
10,68327.7,20.4327,-0.444723
11,70495.2,20.4399,-0.165623
12,72731.4,20.4205,-0.276277
13,75038.6,20.4425,-0.1417
14,77419,20.4442,-0.671613
15,79874.8,20.4401,-0.317094
16,82408.6,20.4593,-0.511329
17,85022.8,20.4532,-0.355619
18,87719.9,20.4534,-0.729327
19,90502.5,20.4682,-0.340496
20,93373.4,20.459,-0.360927
21,96335.4,20.4519,-0.536269
22,99391.4,20.4501,-0.430149
23,102544,20.4641,-0.727139
24,105797,20.46,-0.794363
25,109153,20.4641,-0.282318
26,112616,20.4772,-0.425082
27,116188,20.4914,-0.344725
28,119874,20.4838,-0.720852
29,123677,20.4601,-0.738221
30,127600,20.4839,-0.607236
31,131647,20.4501,-0.513841
32,135824,20.4485,-0.633635
33,140132,20.4555,-0.723605
34,144577,20.4661,-0.783069
35,149164,20.4481,-1.01258
36,153895,20.4688,-1.0074
37,158777,20.4555,-0.831752
38,163814,20.4445,-1.10035
39,169011,20.4394,-0.67143
40,174372,20.4441,-0.820599
41,179903,20.4532,-0.92331
42,185610,20.4543,-0.917169
43,191498,20.452,-1.13594
44,197573,20.4544,-1.04956
45,203840,20.4478,-0.935603
46,210306,20.4562,-1.00921
47,216978,20.4555,-0.873872
48,223861,20.432,-1.18986
49,230962,20.4506,-0.879743
50,238289,20.4576,-0.933066
51,245848,20.4526,-1.14355
52,253646,20.4464,-0.889852
53,261692,20.4384,-1.45508
54,269994,20.4573,-1.26759
55,278559,20.4548,-1.37339
56,287395,20.4569,-2.02406
57,296512,20.4504,-1.42869
58,305918,20.4714,-1.83142
59,315622,20.4759,-1.377
60,325634,20.4583,-1.45922
61,335964,20.4776,-1.96365
62,346621,20.4818,-1.65461
63,357617,20.4681,-1.63593
64,368961,20.4651,-1.78947
65,380665,20.4843,-1.85792
66,392741,20.4707,-1.73413
67,405199,20.4875,-1.81309
68,418053,20.4942,-1.76199
69,431314,20.4753,-2.35665
70,444996,20.476,-2.13462
71,459112,20.4711,-2.03689
72,473676,20.4673,-1.95336
73,488702,20.4853,-2.11355
74,504205,20.4551,-2.8119
75,520199,20.494,-2.87742
76,536701,20.4701,-3.02518
77,553726,20.4741,-1.95096
78,571291,20.4715,-2.36278
79,589414,20.4753,-3.07863
80,608111,20.477,-2.79718
81,627402,20.4919,-2.74946
82,647304,20.4799,-3.3204
83,667838,20.465,-3.07457
84,689023,20.4657,-3.34403
85,710880,20.4397,-3.05166
86,733431,20.457,-3.50438
87,756696,20.4462,-3.26891
88,780700,20.4275,-3.65408
89,805466,20.4466,-3.50353
90,831017,20.463,-4.24369
91,857378,20.4566,-4.43068
92,884576,20.459,-3.96277
93,912636,20.4631,-4.38764
94,941587,20.4566,-4.34289
95,971456,20.4278,-4.65655
96,1.00227e+06,20.4625,-4.86399
97,1.03407e+06,20.4857,-4.84833
98,1.06687e+06,20.484,-4.8626
99,1.10071e+06,20.4957,-5.18913
100,1.13563e+06,20.4914,-5.43331
101,1.17165e+06,20.5034,-5.64343
102,1.20882e+06,20.4842,-5.97244
103,1.24717e+06,20.5087,-5.80167
104,1.28673e+06,20.4768,-6.53168
105,1.32755e+06,20.5042,-6.50128
106,1.36966e+06,20.537,-6.93129
107,1.41311e+06,20.542,-6.83674
108,1.45793e+06,20.5327,-7.06615
109,1.50418e+06,20.5469,-6.92732
110,1.5519e+06,20.5433,-7.44327
111,1.60113e+06,20.5172,-7.47265
112,1.65192e+06,20.5498,-7.78697
113,1.70432e+06,20.5618,-8.17675
114,1.75838e+06,20.5581,-8.19178
115,1.81416e+06,20.5541,-9.0853
116,1.87171e+06,20.5866,-9.17245
117,1.93109e+06,20.5598,-9.86038
118,1.99234e+06,20.5683,-9.70049
119,2.05554e+06,20.6167,-10.3628
120,2.12075e+06,20.5905,-10.5453
121,2.18802e+06,20.6154,-10.9613
122,2.25743e+06,20.6273,-11.8728
123,2.32904e+06,20.6067,-11.3781
124,2.40293e+06,20.6298,-11.528
125,2.47915e+06,20.6764,-11.8216
126,2.55779e+06,20.6588,-12.0948
127,2.63893e+06,20.6839,-13.1258
128,2.72264e+06,20.7049,-13.2478
129,2.80901e+06,20.7072,-13.7584
130,2.89812e+06,20.7278,-14.6209
131,2.99005e+06,20.742,-14.6517
132,3.0849e+06,20.7676,-15.0443
133,3.18276e+06,20.7898,-15.8632
134,3.28373e+06,20.812,-16.5792
135,3.38789e+06,20.826,-16.8999
136,3.49536e+06,20.8381,-17.7458
137,3.60624e+06,20.8838,-18.2122
138,3.72064e+06,20.8987,-18.8526
139,3.83866e+06,20.9155,-19.6367
140,3.96043e+06,20.9754,-20.2886
141,4.08607e+06,20.9872,-20.9828
142,4.21569e+06,21.0179,-22.0649
143,4.34942e+06,21.0377,-22.002
144,4.48739e+06,21.0413,-23.2085
145,4.62974e+06,21.1161,-23.9839
146,4.7766e+06,21.1508,-25.1534
147,4.92812e+06,21.1742,-25.5989
148,5.08445e+06,21.2311,-26.7802
149,5.24574e+06,21.2792,-27.5681
150,5.41215e+06,21.3639,-29.751
151,5.58383e+06,21.4272,-31.5473
152,5.76096e+06,21.4318,-32.7076
153,5.94371e+06,21.465,-32.7842
154,6.13225e+06,21.4774,-34.7946
155,6.32678e+06,21.5689,-36.7122
156,6.52748e+06,21.6648,-37.417
157,6.73454e+06,21.6939,-39.1005
158,6.94818e+06,21.7298,-40.8651
159,7.16859e+06,21.7603,-43.3371
160,7.39599e+06,21.8317,-44.9899
161,7.6306e+06,21.8634,-46.4184
162,7.87266e+06,21.8939,-49.0661
163,8.1224e+06,21.8987,-51.3576
164,8.38005e+06,21.8756,-53.8023
165,8.64589e+06,21.9309,-56.5368
166,8.92015e+06,21.9864,-59.1487
167,9.20311e+06,21.914,-62.1194
168,9.49505e+06,21.9068,-65.5374
169,9.79626e+06,21.8663,-68.2435
170,1.0107e+07,21.8799,-70.8679
171,1.04276e+07,21.7073,-75.1866
172,1.07584e+07,21.6162,-78.4786
173,1.10997e+07,21.4542,-80.5671
174,1.14518e+07,21.2572,-84.4995
175,1.18151e+07,21.0821,-87.7532
176,1.21899e+07,20.8976,-91.3474
177,1.25765e+07,20.6679,-93.7862
178,1.29755e+07,20.399,-97.7023
179,1.33871e+07,20.1152,-101.222
180,1.38118e+07,19.7544,-102.617
181,1.42499e+07,19.4204,-107.545
182,1.47019e+07,19.0337,-110.921
183,1.51683e+07,18.7335,-112.252
184,1.56495e+07,18.4316,-116.973
185,1.61459e+07,18.0721,-119.071
186,1.66581e+07,17.6696,-121.583
187,1.71865e+07,17.271,-124.607
188,1.77317e+07,16.8808,-126.837
189,1.82942e+07,16.5719,-130.353
190,1.88745e+07,16.1885,-132.922
191,1.94733e+07,15.7177,-135.078
192,2.0091e+07,15.2471,-137.369
193,2.07283e+07,14.7746,-140.318
194,2.13859e+07,14.4179,-143.212
195,2.20643e+07,13.9715,-147.271
196,2.27642e+07,13.4401,-146.692
197,2.34863e+07,13.0571,-150.339
198,2.42313e+07,12.7479,-151.622
199,2.5e+07,12.2799,-151.665
