;Scopy version,f4beeb1
;Exported on,Wednesday October 02/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,50000,20.4927,-0.106612
1,51586.1,20.4809,-0.176865
2,53222.5,20.4782,-0.198104
3,54910.8,20.4697,-0.202194
4,56652.7,20.4751,-0.31137
5,58449.8,20.4784,-0.253151
6,60304,20.4767,-0.287927
7,62216.9,20.4842,-0.291918
8,64190.6,20.4755,-0.28233
9,66226.8,20.4745,-0.321561
10,68327.7,20.4766,-0.258983
11,70495.2,20.4808,-0.223999
12,72731.4,20.4777,-0.313164
13,75038.6,20.4798,-0.231586
14,77419,20.4734,-0.328338
15,79874.8,20.4834,-0.329328
16,82408.6,20.4833,-0.412567
17,85022.8,20.4747,-0.294001
18,87719.9,20.4768,-0.306602
19,90502.5,20.4809,-0.391557
20,93373.4,20.4704,-0.339382
21,96335.4,20.4804,-0.473259
22,99391.4,20.481,-0.32342
23,102544,20.4718,-0.461225
24,105797,20.475,-0.491875
25,109153,20.4777,-0.53791
26,112616,20.4751,-0.572776
27,116188,20.4769,-0.524275
28,119874,20.4766,-0.534828
29,123677,20.4738,-0.599909
30,127600,20.4776,-0.543909
31,131647,20.4769,-0.589535
32,135824,20.4741,-0.6499
33,140132,20.4728,-0.621356
34,144577,20.4736,-0.628828
35,149164,20.4759,-0.68466
36,153895,20.4733,-0.643899
37,158777,20.4733,-0.69736
38,163814,20.4773,-0.681651
39,169011,20.4754,-0.742106
40,174372,20.478,-0.754136
41,179903,20.4769,-0.771867
42,185610,20.4793,-0.881124
43,191498,20.4774,-0.823135
44,197573,20.4821,-0.953554
45,203840,20.4798,-0.920585
46,210306,20.4768,-0.984898
47,216978,20.4777,-1.0006
48,223861,20.4808,-0.936227
49,230962,20.479,-1.11273
50,238289,20.4812,-1.04759
51,245848,20.4841,-1.07528
52,253646,20.4829,-1.23324
53,261692,20.4822,-1.12686
54,269994,20.485,-1.28976
55,278559,20.4874,-1.24423
56,287395,20.4834,-1.2552
57,296512,20.4876,-1.28151
58,305918,20.4856,-1.3913
59,315622,20.4874,-1.45062
60,325634,20.4931,-1.49932
61,335964,20.4919,-1.66093
62,346621,20.4932,-1.561
63,357617,20.4853,-1.74432
64,368961,20.488,-1.73572
65,380665,20.4928,-1.82648
66,392741,20.4894,-1.8742
67,405199,20.4954,-1.93019
68,418053,20.4971,-1.77577
69,431314,20.5022,-1.92359
70,444996,20.5023,-2.07023
71,459112,20.501,-2.18454
72,473676,20.4934,-2.1093
73,488702,20.5024,-2.29886
74,504205,20.5062,-2.35831
75,520199,20.4992,-2.47511
76,536701,20.4927,-2.63512
