;Scopy version,f4beeb1
;Exported on,Wednesday October 02/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,50000,20.4832,-0.126954
1,51586.1,20.4642,-0.27563
2,53222.5,20.477,-0.217088
3,54910.8,20.4845,-0.122011
4,56652.7,20.4762,-0.152767
5,58449.8,20.4812,-0.314184
6,60304,20.4724,-0.271893
7,62216.9,20.4878,-0.18053
8,64190.6,20.4747,-0.200743
9,66226.8,20.4763,-0.222239
10,68327.7,20.4798,-0.276836
11,70495.2,20.4719,-0.286515
12,72731.4,20.477,-0.252384
13,75038.6,20.4756,-0.358867
14,77419,20.4785,-0.37719
15,79874.8,20.4876,-0.240085
16,82408.6,20.4899,-0.357757
17,85022.8,20.4954,-0.321299
18,87719.9,20.4746,-0.22836
19,90502.5,20.4798,-0.415519
20,93373.4,20.4699,-0.514702
21,96335.4,20.4902,-0.526973
22,99391.4,20.475,-0.373327
23,102544,20.4884,-0.390779
24,105797,20.4909,-0.424198
25,109153,20.488,-0.437728
26,112616,20.499,-0.546864
27,116188,20.4909,-0.50199
28,119874,20.4862,-0.421672
29,123677,20.4883,-0.410905
30,127600,20.4901,-0.626661
31,131647,20.4917,-0.513213
32,135824,20.489,-0.673795
33,140132,20.4935,-0.635792
34,144577,20.4913,-0.719565
35,149164,20.4906,-0.721693
36,153895,20.4914,-0.710097
37,158777,20.4879,-0.522069
38,163814,20.4912,-0.688336
39,169011,20.4896,-0.718958
40,174372,20.4869,-0.756177
41,179903,20.495,-0.881096
42,185610,20.491,-0.777686
43,191498,20.4917,-0.848366
44,197573,20.4988,-0.930554
45,203840,20.4927,-0.943131
46,210306,20.4935,-0.994679
47,216978,20.4982,-1.08198
48,223861,20.4874,-0.903036
49,230962,20.4913,-1.00763
50,238289,20.4939,-1.03963
51,245848,20.4938,-1.03344
52,253646,20.4857,-1.25693
53,261692,20.4902,-1.24261
54,269994,20.4962,-1.12922
55,278559,20.4942,-1.30017
56,287395,20.4977,-1.26102
57,296512,20.4955,-1.5432
58,305918,20.4964,-1.5826
59,315622,20.4948,-1.56531
60,325634,20.501,-1.38873
61,335964,20.4958,-1.5637
62,346621,20.4916,-1.68814
63,357617,20.512,-1.51823
64,368961,20.5055,-1.81356
65,380665,20.5032,-1.79059
66,392741,20.5034,-1.89059
67,405199,20.4926,-1.79017
68,418053,20.5107,-2.08667
69,431314,20.512,-1.8926
70,444996,20.5086,-2.25004
71,459112,20.5159,-2.36226
72,473676,20.5051,-2.16922
73,488702,20.5022,-2.31808
74,504205,20.4996,-2.28765
75,520199,20.5134,-2.57275
76,536701,20.511,-2.54192
77,553726,20.5062,-2.4587
78,571291,20.4986,-2.40064
79,589414,20.5024,-2.57664
80,608111,20.5115,-2.9134
81,627402,20.4974,-3.2555
82,647304,20.4973,-3.19982
83,667838,20.4958,-3.12046
84,689023,20.501,-3.24354
85,710880,20.4924,-3.47016
86,733431,20.4973,-3.5884
87,756696,20.4889,-3.63646
88,780700,20.4991,-3.80053
89,805466,20.5035,-3.85266
90,831017,20.4974,-4.01526
91,857378,20.5031,-3.99309
92,884576,20.4993,-4.20673
93,912636,20.4946,-4.33915
94,941587,20.5049,-4.56097
95,971456,20.5114,-4.76058
96,1.00227e+06,20.5235,-4.60763
97,1.03407e+06,20.5372,-5.05662
98,1.06687e+06,20.5337,-5.09766
99,1.10071e+06,20.5385,-5.10025
100,1.13563e+06,20.5473,-5.38094
101,1.17165e+06,20.5568,-5.71614
102,1.20882e+06,20.5459,-5.72359
103,1.24717e+06,20.5444,-5.84412
104,1.28673e+06,20.5429,-6.0947
105,1.32755e+06,20.5605,-6.05642
106,1.36966e+06,20.5554,-6.57525
107,1.41311e+06,20.5538,-6.7069
108,1.45793e+06,20.5735,-7.07968
109,1.50418e+06,20.5618,-7.17721
110,1.5519e+06,20.5761,-7.39635
111,1.60113e+06,20.5803,-7.77409
112,1.65192e+06,20.5911,-7.78658
113,1.70432e+06,20.6062,-8.19026
114,1.75838e+06,20.6005,-8.13992
115,1.81416e+06,20.6128,-8.72451
116,1.87171e+06,20.6221,-9.21972
117,1.93109e+06,20.6297,-9.42614
118,1.99234e+06,20.6304,-9.59101
119,2.05554e+06,20.6433,-10.0096
120,2.12075e+06,20.6468,-10.2971
121,2.18802e+06,20.6749,-10.5828
122,2.25743e+06,20.6658,-10.998
123,2.32904e+06,20.6846,-11.0605
124,2.40293e+06,20.6877,-11.7764
125,2.47915e+06,20.71,-11.9395
126,2.55779e+06,20.7221,-12.5084
127,2.63893e+06,20.7434,-12.8425
128,2.72264e+06,20.7468,-13.2823
129,2.80901e+06,20.7485,-14.1578
130,2.89812e+06,20.7909,-14.2267
131,2.99005e+06,20.7887,-14.7359
132,3.0849e+06,20.8095,-15.3354
133,3.18276e+06,20.8304,-15.9102
134,3.28373e+06,20.854,-16.0726
135,3.38789e+06,20.8814,-17.2654
136,3.49536e+06,20.9027,-17.7188
137,3.60624e+06,20.9309,-18.3442
138,3.72064e+06,20.9556,-19.0608
139,3.83866e+06,20.9744,-19.8512
140,3.96043e+06,20.9849,-20.3276
141,4.08607e+06,21.0443,-21.1386
142,4.21569e+06,21.062,-21.7222
143,4.34942e+06,21.1015,-22.5361
144,4.48739e+06,21.1477,-23.6658
145,4.62974e+06,21.1722,-24.4646
146,4.7766e+06,21.2142,-25.5702
147,4.92812e+06,21.2603,-27.0033
148,5.08445e+06,21.2892,-27.5616
149,5.24574e+06,21.3265,-28.5888
150,5.41215e+06,21.374,-29.7357
151,5.58383e+06,21.4416,-30.7483
152,5.76096e+06,21.473,-32.2871
153,5.94371e+06,21.5366,-33.605
154,6.13225e+06,21.6021,-34.9223
155,6.32678e+06,21.621,-36.4315
156,6.52748e+06,21.6738,-37.9417
157,6.73454e+06,21.7159,-39.9411
158,6.94818e+06,21.7837,-41.2138
159,7.16859e+06,21.8315,-42.9978
160,7.39599e+06,21.843,-45.1748
161,7.6306e+06,21.8839,-47.4312
162,7.87266e+06,21.9212,-49.4997
163,8.1224e+06,21.9481,-51.6611
164,8.38005e+06,21.9489,-53.9487
165,8.64589e+06,21.9242,-57.0465
166,8.92015e+06,21.9673,-59.3524
167,9.20311e+06,21.9906,-62.3916
168,9.49505e+06,21.8997,-65.1299
169,9.79626e+06,21.8585,-68.5604
170,1.0107e+07,21.7901,-70.4476
171,1.04276e+07,21.6742,-75.8339
172,1.07584e+07,21.5781,-78.6932
173,1.10997e+07,21.3912,-81.5022
174,1.14518e+07,21.2105,-84.8386
175,1.18151e+07,21.059,-88.9105
176,1.21899e+07,20.8122,-91.9706
177,1.25765e+07,20.5483,-95.1051
178,1.29755e+07,20.3064,-98.3056
179,1.33871e+07,20.0128,-101.618
180,1.38118e+07,19.6557,-105.228
181,1.42499e+07,19.3452,-108.775
182,1.47019e+07,18.9915,-111.658
183,1.51683e+07,18.6138,-114.223
184,1.56495e+07,18.246,-117.297
185,1.61459e+07,17.895,-119.934
186,1.66581e+07,17.4941,-122.533
187,1.71865e+07,17.08,-126.184
188,1.77317e+07,16.7014,-128.044
189,1.82942e+07,16.2625,-131.028
190,1.88745e+07,15.8991,-133.231
191,1.94733e+07,15.46,-136.059
192,2.0091e+07,14.9925,-138.944
193,2.07283e+07,14.5997,-140.385
194,2.13859e+07,14.1377,-143.468
195,2.20643e+07,13.6823,-145.478
196,2.27642e+07,13.3099,-147.3
197,2.34863e+07,12.8854,-150.58
198,2.42313e+07,12.5018,-152.543
199,2.5e+07,12.0413,-154.117
