;Scopy version,f4beeb1
;Exported on,Friday September 27/09/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,26.0669,178.881
1,1040.1,26,178.781
2,1081.81,26.0019,178.936
3,1125.19,25.9656,178.556
4,1170.31,25.9912,178.26
5,1217.24,25.9837,178.711
6,1266.05,25.9904,178.389
7,1316.82,26.0285,178.524
8,1369.62,26.0037,178.204
9,1424.54,26.0023,178.245
10,1481.67,26.003,177.888
11,1541.08,26.0661,177.962
12,1602.88,26.0568,177.845
13,1667.16,26.0551,177.969
14,1734.01,26.1311,177.778
15,1803.54,26.0823,178.08
16,1875.86,26.0836,177.356
17,1951.09,26.0917,177.966
18,2029.32,26.1206,176.946
19,2110.7,26.0978,176.989
20,2195.34,26.125,177.233
21,2283.37,26.104,176.825
22,2374.93,26.1349,176.81
23,2470.17,26.1534,176.938
24,2569.22,26.0758,176.251
25,2672.25,26.1067,176.399
26,2779.41,26.0938,176.474
27,2890.86,26.1118,176.491
28,3006.78,26.1098,176.326
29,3127.36,26.1455,176.03
30,3252.76,26.1414,176.687
31,3383.2,26.0922,175.771
32,3518.86,26.1028,175.035
33,3659.97,26.0187,175.207
34,3806.73,26.092,175.396
35,3959.38,26.0499,174.736
36,4118.16,26.054,175.289
37,4283.29,26.0891,174.301
38,4455.05,26.0419,174.26
39,4633.7,26.1531,174.389
40,4819.51,26.1172,173.679
41,5012.77,26.1319,174.891
42,5213.79,26.0633,173.636
43,5422.86,26.0868,173.099
44,5640.31,26.0705,173.833
45,5866.49,26.1067,172.679
46,6101.74,26.1472,172.561
47,6346.42,26.1533,172.364
48,6600.91,26.0802,171.272
49,6865.6,26.0647,171.691
50,7140.91,26.0685,170.904
51,7427.26,26.0348,170.378
52,7725.1,26.1427,171.314
53,8034.87,26.0817,170.84
54,8357.07,26.0349,169.023
55,8692.19,26.0915,169.038
56,9040.75,26.1557,168.765
57,9403.28,26.127,168.791
58,9780.35,26.075,168.745
59,10172.5,25.8575,167.042
60,10580.5,25.8816,166.936
61,11004.7,25.852,166.879
62,11446,25.8409,165.531
63,11905,25.8303,164.949
64,12382.4,25.7977,164.378
65,12878.9,25.8146,163.798
66,13395.4,25.8093,163.111
67,13932.5,25.7606,162.458
68,14491.2,25.7527,162.018
69,15072.3,25.6797,161.391
70,15676.7,25.6098,160.458
71,16305.4,25.6191,159.301
72,16959.2,25.5626,159.229
73,17639.3,25.575,158.112
74,18346.6,25.4993,157.469
75,19082.3,25.5123,156.607
76,19847.5,25.4334,155.694
77,20643.4,25.3749,155.342
78,21471.2,25.3066,154.101
79,22332.2,25.2484,153.389
80,23227.7,25.1558,152.111
81,24159.1,25.066,151.006
82,25127.9,24.9933,150.28
83,26135.5,24.9069,149.12
84,27183.6,24.817,147.918
85,28273.6,24.7005,147.003
86,29407.4,24.5835,145.386
87,30586.6,24.521,144.324
88,31813.1,24.3948,143.853
89,33088.9,24.249,142.554
90,34415.7,24.1624,141.31
91,35795.8,24.0007,140.079
92,37231.2,23.9073,139.797
93,38724.2,23.712,138.264
94,40277,23.6025,137.155
95,41892.1,23.5253,135.884
96,43572,23.3658,133.513
97,45319.2,23.0883,133.228
98,47136.5,23.0062,133.968
99,49026.7,22.7631,130.875
100,50992.6,22.5464,129.339
101,53037.4,22.3528,128.574
102,55164.2,22.2191,127.628
103,57376.3,21.954,126.054
104,59677.1,21.7041,125.414
105,62070.2,21.5121,124.093
106,64559.2,21.3179,123.737
107,67148,20.9192,122.572
108,69840.6,20.6842,120.628
109,72641.2,20.433,119.177
110,75554.1,20.2203,117.722
111,78583.9,19.8687,116.952
112,81735.1,19.6452,115.989
113,85012.6,19.4261,115.657
114,88421.6,19.1773,114.397
115,91967.4,18.951,113.267
116,95655.2,18.4134,110.963
117,99491,18.3533,111.347
118,103481,17.959,111.124
119,107630,17.7031,110.017
120,111946,17.4066,109.558
121,116435,17.1617,108.062
122,121104,16.8613,107.087
123,125960,16.4838,105.766
124,131011,16.1953,105.318
125,136265,15.87,104.237
126,141729,15.5664,103.896
127,147413,15.2611,102.227
128,153324,14.9566,101.19
129,159472,14.6357,101.484
130,165867,14.3024,100.671
131,172518,13.9113,99.7448
132,179436,13.6889,98.7947
133,186632,13.295,98.4124
134,194115,12.9389,97.5946
135,201899,12.5888,97.3997
136,209996,12.2809,96.3404
137,218416,11.9867,95.9255
138,227175,11.6004,95.484
139,236285,11.3008,93.9765
140,245760,10.9646,92.5886
141,255615,10.6286,93.7358
142,265865,10.2965,93.2058
143,276526,10.0585,92.008
144,287615,9.60688,91.673
145,299148,9.32727,90.6135
146,311144,8.93884,91.8413
147,323621,8.65897,90.477
148,336598,8.27181,89.6644
149,350095,7.96027,88.8583
150,364134,7.69485,90.0306
151,378736,7.21375,89.2796
152,393923,6.99083,87.2213
153,409719,6.53508,86.0465
154,426149,6.36359,86.3954
155,443238,5.85945,85.4828
156,461012,5.5439,81.9538
157,479498,5.08293,83.0734
158,498726,4.76589,82.8098
159,518725,4.47093,82.4245
160,539526,4.10575,81.8042
161,561161,3.82412,82.4034
162,583663,3.49461,81.1449
163,607068,3.27166,78.2728
164,631411,2.74007,77.4619
165,656731,2.44073,76.0498
166,683066,2.01004,79.2563
167,710457,1.97252,76.823
168,738946,1.5497,76.3985
169,768578,1.11541,76.3915
170,799398,0.793719,76.0181
