;Scopy version,f4beeb1
;Exported on,Wednesday October 02/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,50000,23.3664,-0.377668
1,51586.1,23.3638,-0.323174
2,53222.5,23.358,-0.357738
3,54910.8,23.349,-0.394416
4,56652.7,23.3476,-0.366691
5,58449.8,23.3574,-0.361459
6,60304,23.3633,-0.4145
7,62216.9,23.3676,-0.480163
8,64190.6,23.3628,-0.455092
9,66226.8,23.354,-0.506624
10,68327.7,23.3586,-0.526681
11,70495.2,23.3609,-0.496717
12,72731.4,23.363,-0.576529
13,75038.6,23.3584,-0.638501
14,77419,23.3595,-0.595567
15,79874.8,23.3652,-0.593772
16,82408.6,23.3645,-0.570664
17,85022.8,23.3555,-0.646708
18,87719.9,23.362,-0.672834
19,90502.5,23.3633,-0.630494
20,93373.4,23.3571,-0.691904
21,96335.4,23.3691,-0.786326
22,99391.4,23.3615,-0.595761
23,102544,23.3556,-0.684441
24,105797,23.3573,-0.786063
25,109153,23.3605,-0.792518
26,112616,23.3589,-0.819674
27,116188,23.3619,-0.821089
28,119874,23.3626,-0.871458
29,123677,23.3609,-0.938871
30,127600,23.3597,-1.01194
31,131647,23.3607,-1.01972
32,135824,23.3624,-0.995033
33,140132,23.3594,-1.03229
34,144577,23.3557,-1.13779
35,149164,23.3587,-1.18026
36,153895,23.3582,-1.15583
37,158777,23.3617,-1.18449
38,163814,23.3649,-1.27687
39,169011,23.364,-1.30423
40,174372,23.3625,-1.31887
41,179903,23.3622,-1.40056
42,185610,23.367,-1.43223
43,191498,23.3693,-1.52313
44,197573,23.3665,-1.50007
45,203840,23.3682,-1.50446
46,210306,23.3678,-1.53901
47,216978,23.3669,-1.69724
48,223861,23.37,-1.75174
49,230962,23.3715,-1.86909
50,238289,23.3707,-1.80344
51,245848,23.3773,-1.92416
52,253646,23.3753,-2.02886
53,261692,23.3809,-2.07942
54,269994,23.3793,-2.10085
55,278559,23.3813,-2.1239
56,287395,23.3839,-2.18003
57,296512,23.3831,-2.27136
58,305918,23.386,-2.42699
59,315622,23.3868,-2.51461
60,325634,23.3911,-2.49675
61,335964,23.3922,-2.62959
62,346621,23.3983,-2.71161
63,357617,23.3997,-2.7307
64,368961,23.4021,-2.8633
65,380665,23.4011,-2.87532
66,392741,23.4063,-3.11551
67,405199,23.4032,-3.03861
68,418053,23.4166,-3.18632
69,431314,23.4267,-3.41261
70,444996,23.4208,-3.47177
71,459112,23.4301,-3.77184
72,473676,23.4265,-3.93477
73,488702,23.4206,-3.78989
74,504205,23.4369,-3.90629
75,520199,23.4376,-4.31245
76,536701,23.4342,-4.46179
77,553726,23.4353,-4.32592
78,571291,23.4339,-4.83342
79,589414,23.4404,-4.68812
80,608111,23.4432,-4.92728
81,627402,23.4444,-5.03008
82,647304,23.4562,-5.18505
83,667838,23.4585,-5.38562
84,689023,23.4682,-5.575
85,710880,23.4782,-5.74736
86,733431,23.4838,-5.97505
87,756696,23.4892,-6.1445
88,780700,23.4972,-6.34756
89,805466,23.5039,-6.69553
90,831017,23.5191,-6.85449
91,857378,23.5264,-7.03367
92,884576,23.5432,-7.30734
93,912636,23.5484,-7.61919
94,941587,23.5717,-7.69186
95,971456,23.6,-8.20645
96,1.00227e+06,23.611,-8.32623
97,1.03407e+06,23.6317,-8.80595
98,1.06687e+06,23.6467,-8.9372
99,1.10071e+06,23.6725,-9.43813
100,1.13563e+06,23.6935,-9.73983
101,1.17165e+06,23.7283,-10.3662
102,1.20882e+06,23.7631,-10.7422
103,1.24717e+06,23.8129,-11.2448
104,1.28673e+06,23.8643,-11.9601
105,1.32755e+06,23.9162,-12.9207
106,1.36966e+06,23.9775,-13.7178
107,1.41311e+06,24.0412,-15.1387
108,1.45793e+06,24.1342,-16.8801
109,1.50418e+06,24.2283,-19.3095
110,1.5519e+06,24.3003,-22.587
111,1.60113e+06,24.317,-26.5088
112,1.65192e+06,24.2518,-31.1495
113,1.70432e+06,24.1213,-35.6234
114,1.75838e+06,23.9664,-39.0956
115,1.81416e+06,23.7861,-42.6565
116,1.87171e+06,23.5943,-46.3102
117,1.93109e+06,23.3824,-49.8443
118,1.99234e+06,23.1563,-53.2157
119,2.05554e+06,22.9285,-56.3337
120,2.12075e+06,22.6758,-59.0863
121,2.18802e+06,22.4361,-61.9616
122,2.25743e+06,22.1806,-64.4044
123,2.32904e+06,21.9386,-67.4409
124,2.40293e+06,21.6659,-69.8078
125,2.47915e+06,21.4044,-72.6986
126,2.55779e+06,21.1313,-74.8349
127,2.63893e+06,20.9008,-77.2344
128,2.72264e+06,20.6067,-79.4687
129,2.80901e+06,20.348,-81.3612
130,2.89812e+06,20.0825,-83.7999
131,2.99005e+06,19.8207,-85.496
132,3.0849e+06,19.5401,-87.3372
133,3.18276e+06,19.2692,-89.4512
134,3.28373e+06,18.9835,-91.5002
135,3.38789e+06,18.6887,-93.0791
136,3.49536e+06,18.4084,-95.1911
137,3.60624e+06,18.1124,-96.7975
138,3.72064e+06,17.8454,-98.1425
139,3.83866e+06,17.5458,-100.233
140,3.96043e+06,17.2499,-102.254
141,4.08607e+06,16.9577,-103.386
142,4.21569e+06,16.6462,-105.554
143,4.34942e+06,16.3634,-107.483
144,4.48739e+06,16.0762,-108.251
145,4.62974e+06,15.7668,-110.31
146,4.7766e+06,15.471,-111.278
147,4.92812e+06,15.1217,-113.411
148,5.08445e+06,14.849,-115.071
149,5.24574e+06,14.5508,-115.883
150,5.41215e+06,14.2208,-117.119
151,5.58383e+06,13.9244,-118.749
152,5.76096e+06,13.6175,-119.779
153,5.94371e+06,13.3025,-120.951
154,6.13225e+06,12.9842,-122.298
155,6.32678e+06,12.6923,-123.017
156,6.52748e+06,12.3797,-124.157
157,6.73454e+06,12.1033,-124.914
158,6.94818e+06,11.8297,-126.246
159,7.16859e+06,11.5178,-127.115
160,7.39599e+06,11.2524,-127.563
161,7.6306e+06,10.9777,-128.428
162,7.87266e+06,10.725,-129.035
163,8.1224e+06,10.4444,-129.923
164,8.38005e+06,10.2126,-130.513
165,8.64589e+06,9.97766,-130.838
166,8.92015e+06,9.75932,-131.702
167,9.20311e+06,9.528,-132.473
168,9.49505e+06,9.33144,-133.169
169,9.79626e+06,9.10411,-134.032
170,1.0107e+07,8.90959,-134.873
171,1.04276e+07,8.6915,-134.975
172,1.07584e+07,8.44266,-136.024
