;Scopy version,f4beeb1
;Exported on,Wednesday October 02/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,50000,23.3303,-0.297729
1,51586.1,23.3577,-0.217038
2,53222.5,23.3684,0.0285105
3,54910.8,23.3803,-0.205875
4,56652.7,23.3717,-0.0174186
5,58449.8,23.35,-0.00197319
6,60304,23.3617,-0.220444
7,62216.9,23.3281,-0.599778
8,64190.6,23.3233,-0.473287
9,66226.8,23.3236,-0.748424
10,68327.7,23.31,-0.484264
11,70495.2,23.3299,-0.36495
12,72731.4,23.3203,-0.761399
13,75038.6,23.328,-0.612728
14,77419,23.3313,-0.644108
15,79874.8,23.3237,-0.63479
16,82408.6,23.337,-0.359646
17,85022.8,23.3408,-0.5944
18,87719.9,23.3436,-0.298964
19,90502.5,23.3325,-0.944764
20,93373.4,23.3506,-0.752101
21,96335.4,23.3492,-0.864086
22,99391.4,23.3314,-0.600312
23,102544,23.3733,-0.946394
24,105797,23.3409,-0.52519
25,109153,23.3765,-0.898765
26,112616,23.3586,-0.984401
27,116188,23.3503,-0.991274
28,119874,23.3574,-1.06338
29,123677,23.3583,-0.730011
30,127600,23.3639,-0.974944
31,131647,23.337,-1.19956
32,135824,23.3488,-1.01804
33,140132,23.3531,-1.095
34,144577,23.3564,-1.12251
35,149164,23.3545,-1.17837
36,153895,23.3358,-1.02791
37,158777,23.3439,-1.54684
38,163814,23.3421,-1.16156
39,169011,23.3345,-1.31203
40,174372,23.346,-1.48545
41,179903,23.3475,-1.42564
42,185610,23.3356,-1.44115
43,191498,23.3289,-1.29697
44,197573,23.3413,-1.45272
45,203840,23.3456,-1.44947
46,210306,23.3507,-1.48453
47,216978,23.3438,-1.74763
48,223861,23.3402,-1.90254
49,230962,23.3485,-1.67509
50,238289,23.3305,-2.07115
51,245848,23.341,-2.07394
52,253646,23.3418,-2.14654
53,261692,23.3479,-1.99299
54,269994,23.3515,-2.18967
55,278559,23.3728,-2.1833
56,287395,23.3545,-2.31272
57,296512,23.3562,-2.24527
58,305918,23.3563,-2.59796
59,315622,23.3514,-2.52473
60,325634,23.3536,-2.16794
61,335964,23.3624,-2.49004
62,346621,23.3574,-2.73528
63,357617,23.37,-2.50248
64,368961,23.3827,-2.55935
65,380665,23.3517,-2.96163
66,392741,23.3838,-3.17984
67,405199,23.399,-3.55468
68,418053,23.415,-2.97216
69,431314,23.4013,-3.3996
70,444996,23.4192,-4.18124
71,459112,23.3956,-3.51663
72,473676,23.3986,-3.71587
73,488702,23.4131,-3.73382
74,504205,23.4166,-3.80717
75,520199,23.4066,-3.82308
76,536701,23.409,-4.76484
77,553726,23.443,-3.88572
78,571291,23.4304,-4.08979
79,589414,23.4177,-5.00894
80,608111,23.4241,-4.20016
81,627402,23.406,-5.21057
82,647304,23.4264,-5.00054
83,667838,23.4273,-4.94208
84,689023,23.426,-5.70222
85,710880,23.4451,-5.29883
86,733431,23.4777,-5.80034
87,756696,23.4388,-5.8576
88,780700,23.4552,-6.09986
89,805466,23.4373,-6.87136
90,831017,23.4722,-6.98425
91,857378,23.4878,-6.96293
92,884576,23.4958,-6.97035
93,912636,23.5129,-7.6853
94,941587,23.5131,-8.14763
95,971456,23.5082,-7.78015
96,1.00227e+06,23.5661,-8.46801
97,1.03407e+06,23.5677,-8.39571
98,1.06687e+06,23.594,-8.68988
99,1.10071e+06,23.6452,-9.08912
100,1.13563e+06,23.63,-9.50213
101,1.17165e+06,23.6526,-9.63022
102,1.20882e+06,23.6607,-10.3142
103,1.24717e+06,23.7003,-10.7849
104,1.28673e+06,23.7032,-10.6979
105,1.32755e+06,23.74,-11.3324
106,1.36966e+06,23.7452,-11.9732
107,1.41311e+06,23.7719,-11.7824
108,1.45793e+06,23.8059,-12.1877
109,1.50418e+06,23.8358,-13.3761
110,1.5519e+06,23.8615,-13.3912
111,1.60113e+06,23.9,-13.3637
112,1.65192e+06,23.9465,-14.6169
113,1.70432e+06,23.9663,-15.9074
114,1.75838e+06,23.992,-16.1416
115,1.81416e+06,24.0537,-16.0406
116,1.87171e+06,24.1084,-17.6149
117,1.93109e+06,24.1301,-18.1275
118,1.99234e+06,24.1663,-18.8002
119,2.05554e+06,24.2036,-19.5315
120,2.12075e+06,24.2479,-19.8451
121,2.18802e+06,24.2908,-21.5071
122,2.25743e+06,24.3621,-22.2277
123,2.32904e+06,24.3954,-22.9348
124,2.40293e+06,24.4864,-24.3849
125,2.47915e+06,24.5302,-25.8689
126,2.55779e+06,24.5797,-26.0866
127,2.63893e+06,24.626,-28.2444
128,2.72264e+06,24.6839,-29.0247
129,2.80901e+06,24.7409,-30.9034
130,2.89812e+06,24.8015,-33.2012
131,2.99005e+06,24.8425,-34.002
132,3.0849e+06,24.8957,-36.0012
133,3.18276e+06,24.9251,-37.9296
134,3.28373e+06,25.0049,-40.6419
135,3.38789e+06,25.0096,-43.1113
136,3.49536e+06,25.0083,-45.3538
137,3.60624e+06,25.0232,-48.5802
138,3.72064e+06,24.9995,-51.0781
139,3.83866e+06,24.9562,-53.8392
140,3.96043e+06,24.8967,-56.5858
141,4.08607e+06,24.809,-59.3907
142,4.21569e+06,24.6689,-63.2643
143,4.34942e+06,24.5381,-65.9549
144,4.48739e+06,24.3462,-69.841
145,4.62974e+06,24.1038,-72.4788
146,4.7766e+06,23.8972,-75.6185
147,4.92812e+06,23.6609,-79.2778
148,5.08445e+06,23.4131,-81.0955
149,5.24574e+06,23.0898,-85.0681
150,5.41215e+06,22.8023,-85.8897
151,5.58383e+06,22.5344,-89.712
152,5.76096e+06,22.1293,-93.7636
153,5.94371e+06,21.8048,-94.5248
154,6.13225e+06,21.4891,-96.9558
155,6.32678e+06,21.1068,-99.3508
156,6.52748e+06,20.8069,-101.802
157,6.73454e+06,20.4369,-103.2
158,6.94818e+06,20.065,-104.366
159,7.16859e+06,19.6513,-106.731
160,7.39599e+06,19.2953,-109.407
161,7.6306e+06,18.9386,-110.325
162,7.87266e+06,18.5659,-112.3
163,8.1224e+06,18.1912,-113.835
164,8.38005e+06,17.8539,-115.823
165,8.64589e+06,17.4931,-115.996
166,8.92015e+06,17.1115,-118.803
167,9.20311e+06,16.7111,-119.218
168,9.49505e+06,16.4012,-120.699
169,9.79626e+06,16.0698,-121.556
170,1.0107e+07,15.6831,-122.52
171,1.04276e+07,15.3679,-123.81
172,1.07584e+07,15.0409,-127.109
173,1.10997e+07,14.6426,-126.573
174,1.14518e+07,14.2751,-127.781
175,1.18151e+07,14.0661,-128.529
176,1.21899e+07,13.6854,-131.547
177,1.25765e+07,13.3883,-131.156
178,1.29755e+07,13.2403,-131.388
179,1.33871e+07,12.9115,-131.789
180,1.38118e+07,12.7107,-134.739
181,1.42499e+07,12.3913,-135.58
182,1.47019e+07,12.1857,-137.017
183,1.51683e+07,12.0529,-137.106
184,1.56495e+07,11.8203,-140.807
185,1.61459e+07,11.5371,-142.235
186,1.66581e+07,11.3924,-141.344
187,1.71865e+07,11.2944,-144.381
188,1.77317e+07,11.0922,-145.958
189,1.82942e+07,11.0557,-148.792
