;Scopy version,f4beeb1
;Exported on,Wednesday October 02/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,50000,23.5532,-0.625195
1,51586.1,23.545,-0.0261756
2,53222.5,23.5648,0.0156846
3,54910.8,23.5354,-0.465315
4,56652.7,23.5433,-0.387789
5,58449.8,23.5624,-0.476848
6,60304,23.5364,-0.597661
7,62216.9,23.5499,-0.856772
8,64190.6,23.5209,-0.258788
9,66226.8,23.5363,-0.762295
10,68327.7,23.5375,-0.599602
11,70495.2,23.5108,-0.462846
12,72731.4,23.5376,-0.734007
13,75038.6,23.6194,-0.298861
14,77419,23.5924,-0.737264
15,79874.8,23.5902,-0.756036
16,82408.6,23.6088,-0.730646
17,85022.8,23.6118,-0.736726
18,87719.9,23.6044,-0.615853
19,90502.5,23.6223,-0.850304
20,93373.4,23.6522,-1.02968
21,96335.4,23.6451,-1.12974
22,99391.4,23.5979,-0.557172
23,102544,23.5336,-0.78019
24,105797,23.5109,-0.611743
25,109153,23.5523,-0.949288
26,112616,23.5349,-0.967364
27,116188,23.5561,-1.25664
28,119874,23.5316,-1.06901
29,123677,23.5443,-1.31437
30,127600,23.5392,-0.918742
31,131647,23.5328,-1.07118
32,135824,23.5259,-1.28272
33,140132,23.5346,-1.22201
34,144577,23.5196,-1.46815
35,149164,23.5298,-1.4219
36,153895,23.5281,-1.32405
37,158777,23.5324,-1.46636
38,163814,23.5354,-1.27061
39,169011,23.5103,-1.46835
40,174372,23.5032,-1.47066
41,179903,23.5133,-1.45421
42,185610,23.497,-1.71143
43,191498,23.5059,-1.61574
44,197573,23.5184,-1.60188
45,203840,23.4986,-1.93078
46,210306,23.4854,-1.3862
47,216978,23.4976,-1.40908
48,223861,23.5117,-1.89871
49,230962,23.5153,-1.58059
50,238289,23.5112,-2.25054
51,245848,23.529,-2.11959
52,253646,23.5076,-1.87807
53,261692,23.5024,-1.6147
54,269994,23.5036,-2.26999
55,278559,23.508,-2.04707
56,287395,23.5384,-2.09826
57,296512,23.5013,-2.29395
58,305918,23.5002,-2.65531
59,315622,23.5175,-1.9252
60,325634,23.4954,-2.48431
61,335964,23.5161,-2.38738
62,346621,23.5241,-3.09617
63,357617,23.5378,-2.99201
64,368961,23.5443,-2.85346
65,380665,23.532,-2.91093
66,392741,23.534,-3.47989
67,405199,23.5042,-3.27513
