;Scopy version,f4beeb1
;Exported on,Wednesday October 02/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,50000,39.6599,-0.0802256
1,51586.1,39.5319,0.00799584
2,53222.5,39.5522,0.27558
3,54910.8,39.5579,-1.19082
4,56652.7,39.5693,-1.28975
5,58449.8,39.5745,-0.0740567
6,60304,39.5713,0.129074
7,62216.9,39.5998,0.790852
8,64190.6,39.6163,-0.367199
9,66226.8,39.6687,-1.56706
10,68327.7,39.6474,-0.732351
11,70495.2,39.6814,-0.982554
12,72731.4,39.7046,-0.884714
13,75038.6,39.5952,0.265556
14,77419,39.6048,-1.4669
15,79874.8,39.593,-1.00365
16,82408.6,39.5869,-1.15637
17,85022.8,39.573,-1.71487
18,87719.9,39.4999,-0.41698
19,90502.5,39.5029,-0.382808
20,93373.4,39.4691,-1.15843
21,96335.4,39.4764,0.0186074
22,99391.4,39.3792,-1.47337
23,102544,39.5731,-0.829342
24,105797,39.5881,-2.18812
25,109153,39.5436,-0.881883
26,112616,39.6236,-0.892325
27,116188,39.6228,-2.02029
28,119874,39.654,-1.2207
29,123677,39.6273,-2.08493
30,127600,39.6205,-2.29095
31,131647,39.6287,-1.91614
32,135824,39.6283,-1.77048
33,140132,39.6166,-1.87801
34,144577,39.6462,-1.63336
35,149164,39.6733,-2.81538
36,153895,39.613,-1.18134
37,158777,39.6312,-1.94171
38,163814,39.5839,-2.05253
39,169011,39.6155,-2.3963
40,174372,39.6119,-2.32936
41,179903,39.623,-2.22604
42,185610,39.6387,-2.12908
43,191498,39.6035,-2.52881
44,197573,39.5875,-1.94768
45,203840,39.607,-2.48742
46,210306,39.6232,-3.45542
47,216978,39.5706,-2.58121
48,223861,39.541,-2.4379
49,230962,39.4914,-3.81864
50,238289,39.4834,-3.7536
51,245848,39.5678,-3.03285
52,253646,39.5595,-4.41857
53,261692,39.5542,-3.72299
54,269994,39.586,-4.49632
55,278559,39.5436,-3.85387
56,287395,39.543,-4.72701
57,296512,39.5418,-4.67427
58,305918,39.5348,-4.33748
59,315622,39.5361,-3.79914
60,325634,39.5623,-3.81151
61,335964,39.5542,-4.48324
62,346621,39.5967,-4.41651
63,357617,39.5385,-4.74461
64,368961,39.5822,-5.50338
65,380665,39.6037,-6.11155
66,392741,39.5432,-6.43772
67,405199,39.5264,-5.5354
68,418053,39.6161,-6.78284
69,431314,39.5469,-6.43065
70,444996,39.6182,-5.7929
71,459112,39.6138,-6.3138
72,473676,39.6474,-6.08395
73,488702,39.6076,-4.95533
74,504205,39.6873,-6.55694
75,520199,39.5865,-6.54266
76,536701,39.5432,-6.08857
77,553726,39.6392,-6.38158
78,571291,39.5519,-6.95031
79,589414,39.5868,-8.67066
80,608111,39.5551,-9.62057
81,627402,39.5413,-7.62714
82,647304,39.5683,-9.77823
83,667838,39.5225,-8.70233
84,689023,39.501,-7.45408
85,710880,39.5134,-12.034
86,733431,39.4833,-9.66222
