;Scopy version,f4beeb1
;Exported on,Monday September 30/09/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,13.9203,179.645
1,1040.1,13.9151,179.648
2,1081.81,13.9154,179.634
3,1125.19,13.9148,179.615
4,1170.31,13.9148,179.604
5,1217.24,13.9149,179.591
6,1266.05,13.9151,179.562
7,1316.82,13.9148,179.557
8,1369.62,13.9145,179.53
9,1424.54,13.9163,179.525
10,1481.67,13.916,179.495
11,1541.08,13.9161,179.47
12,1602.88,13.9168,179.456
13,1667.16,13.9179,179.419
14,1734.01,13.919,179.401
15,1803.54,13.92,179.377
16,1875.86,13.9209,179.368
17,1951.09,13.9217,179.338
18,2029.32,13.9219,179.306
19,2110.7,13.9212,179.28
20,2195.34,13.9204,179.253
21,2283.37,13.9187,179.204
22,2374.93,13.917,179.175
23,2470.17,13.9172,179.165
24,2569.22,13.9186,179.099
25,2672.25,13.9223,179.081
26,2779.41,13.926,179.018
27,2890.86,13.9281,178.975
28,3006.78,13.9261,178.935
29,3127.36,13.9228,178.882
30,3252.76,13.9219,178.86
31,3383.2,13.9249,178.803
32,3518.86,13.9284,178.754
33,3659.97,13.9281,178.673
34,3806.73,13.9261,178.641
35,3959.38,13.9268,178.585
36,4118.16,13.9281,178.526
37,4283.29,13.928,178.486
38,4455.05,13.9296,178.399
39,4633.7,13.9305,178.328
40,4819.51,13.9319,178.254
41,5012.77,13.9311,178.19
42,5213.79,13.9345,178.112
43,5422.86,13.9342,178.009
44,5640.31,13.9363,177.919
45,5866.49,13.9365,177.814
46,6101.74,13.9357,177.731
47,6346.42,13.9386,177.649
48,6600.91,13.9362,177.522
49,6865.6,13.9387,177.415
50,7140.91,13.9398,177.322
51,7427.26,13.9409,177.185
52,7725.1,13.9398,177.05
53,8034.87,13.94,176.925
54,8357.07,13.942,176.815
55,8692.19,13.9402,176.658
56,9040.75,13.9426,176.5
57,9403.28,13.9409,176.359
58,9780.35,13.9402,176.215
59,10172.5,13.9377,176.052
60,10580.5,13.9364,175.872
61,11004.7,13.9351,175.696
62,11446,13.9336,175.517
63,11905,13.9315,175.307
64,12382.4,13.9297,175.115
65,12878.9,13.9274,174.899
66,13395.4,13.9265,174.708
67,13932.5,13.9221,174.455
68,14491.2,13.921,174.23
69,15072.3,13.9186,173.983
70,15676.7,13.914,173.734
71,16305.4,13.9113,173.478
72,16959.2,13.9085,173.194
73,17639.3,13.9046,172.904
74,18346.6,13.9009,172.569
75,19082.3,13.8963,172.274
76,19847.5,13.8905,171.951
77,20643.4,13.8849,171.589
78,21471.2,13.8768,171.228
79,22332.2,13.8675,170.866
80,23227.7,13.8576,170.442
81,24159.1,13.8465,170.049
82,25127.9,13.8371,169.601
83,26135.5,13.8249,169.153
84,27183.6,13.8177,168.652
85,28273.6,13.8057,168.173
86,29407.4,13.7907,167.649
87,30586.6,13.7747,167.008
88,31813.1,13.7504,166.498
89,33088.9,13.732,165.867
90,34415.7,13.7135,165.221
91,35795.8,13.6823,164.469
92,37231.2,13.6567,163.815
93,38724.2,13.6215,163.048
94,40277,13.5889,162.186
95,41892.1,13.5481,161.239
96,43572,13.4955,160.271
97,45319.2,13.4447,159.236
98,47136.5,13.3859,158.25
99,49026.7,13.3186,157.13
100,50992.6,13.2354,155.852
101,53037.4,13.1464,154.688
102,55164.2,13.0404,152.916
103,57376.3,12.9123,151.694
104,59677.1,12.7872,149.937
105,62070.2,12.6306,148.053
106,64559.2,12.4456,146.248
107,67148,12.2274,144.807
108,69840.6,12.0116,142.657
109,72641.2,11.7634,141.027
110,75554.1,11.4542,138.224
111,78583.9,11.1637,136.393
112,81735.1,10.8326,133.908
113,85012.6,10.5072,132.46
114,88421.6,10.146,129.931
115,91967.4,9.79678,128.44
116,95655.2,9.38063,125.622
117,99491,9.04638,124.544
118,103481,8.6667,122.262
119,107630,8.2893,120.482
120,111946,7.90963,118.885
121,116435,7.531,117.299
122,121104,7.15237,115.666
123,125960,6.77493,114.212
124,131011,6.40024,112.684
125,136265,6.01901,111.428
126,141729,5.64625,110.17
127,147413,5.28231,108.875
128,153324,4.91175,107.673
129,159472,4.54449,106.415
130,165867,4.17622,105.417
131,172518,3.81908,104.086
132,179436,3.45184,102.992
133,186632,3.108,102.034
134,194115,2.75851,100.796
135,201899,2.41913,99.9524
136,209996,2.07078,98.9974
137,218416,1.72491,98.0238
138,227175,1.38631,97.1637
139,236285,1.03572,95.9966
140,245760,0.703746,95.0313
141,255615,0.378197,94.3081
142,265865,0.0442054,93.4063
143,276526,-0.287613,92.3616
144,287615,-0.609751,91.673
145,299148,-0.942324,90.6383
146,311144,-1.25978,89.7019
147,323621,-1.58848,89.264
148,336598,-1.90537,87.4849
149,350095,-2.2196,87.1184
150,364134,-2.53445,86.1351
151,378736,-2.82043,85.1803
152,393923,-3.1134,84.1568
153,409719,-3.40394,83.1436
154,426149,-3.68193,82.2037
155,443238,-3.96267,80.7346
156,461012,-4.23907,79.4445
157,479498,-4.67457,77.0243
158,498726,-5.28714,76.2536
159,518725,-5.52318,77.1825
160,539526,-5.7117,76.7708
161,561161,-5.9288,75.7195
162,583663,-6.15751,74.1438
163,607068,-6.38746,73.3748
164,631411,-6.62978,72.0557
165,656731,-6.841,71.2725
166,683066,-7.11732,69.0146
167,710457,-7.46719,68.2494
168,738946,-7.80832,68.1109
169,768578,-8.00632,67.3192
170,799398,-8.20579,66.3471
171,831453,-8.40293,65.4399
172,864795,-8.55072,63.1566
173,899473,-8.77783,63.571
174,935542,-9.04397,62.6706
175,973057,-9.11544,61.5219
176,1.01208e+06,-9.29255,60.2743
177,1.05266e+06,-9.44026,59.3251
178,1.09487e+06,-9.58177,58.1854
179,1.13878e+06,-9.71689,57.4727
180,1.18444e+06,-9.83713,56.565
181,1.23194e+06,-9.93873,55.7672
182,1.28134e+06,-10.0344,54.9315
183,1.33272e+06,-10.0954,53.8047
184,1.38616e+06,-10.1791,53.2483
185,1.44175e+06,-10.2083,52.3617
186,1.49956e+06,-10.1992,51.816
187,1.55969e+06,-10.2315,51.0602
188,1.62224e+06,-10.1931,50.4849
189,1.68729e+06,-10.1161,50.1717
190,1.75495e+06,-10.0157,49.3077
191,1.82532e+06,-9.84124,48.5564
192,1.89852e+06,-9.60324,47.6089
193,1.97465e+06,-9.26632,46.3684
194,2.05383e+06,-8.89163,44.2475
195,2.13619e+06,-8.48652,42.0478
196,2.22185e+06,-8.22432,39.4962
197,2.31095e+06,-8.0284,37.8517
198,2.40362e+06,-7.8258,35.8362
199,2.5e+06,-7.49401,34.1173
