;Scopy version,f4beeb1
;Exported on,Monday September 30/09/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,34.3589,179.669
1,1040.1,13.9229,181
2,1081.81,13.9258,181
3,1125.19,13.9248,181
4,1170.31,13.927,181
5,1217.24,13.9301,181
6,1266.05,13.9335,181
7,1316.82,13.934,181
8,1369.62,13.9333,181
9,1424.54,13.9373,181
10,1481.67,13.9391,181
11,1541.08,13.9441,181
12,1602.88,13.9477,181
13,1667.16,13.9505,181
14,1734.01,13.9536,181
15,1803.54,13.9572,181
16,1875.86,13.9647,181
17,1951.09,13.9677,181
18,2029.32,13.9745,181
19,2110.7,13.9853,181
20,2195.34,13.9902,181
21,2283.37,13.9969,181
22,2374.93,13.9984,181
23,2470.17,14.0065,179.994
24,2569.22,14.0079,180
25,2672.25,14.0138,179.963
26,2779.41,14.0188,179.875
27,2890.86,14.0226,179.943
28,3006.78,14.0264,179.888
29,3127.36,14.0315,179.802
30,3252.76,14.0496,179.786
31,3383.2,14.0596,179.784
32,3518.86,14.064,179.634
33,3659.97,14.0718,179.674
34,3806.73,14.0773,179.583
35,3959.38,14.0841,179.508
36,4118.16,14.0995,179.466
37,4283.29,14.1127,179.345
38,4455.05,14.1131,179.246
39,4633.7,14.1181,179.167
40,4819.51,14.1296,179.043
41,5012.77,14.1353,178.977
42,5213.79,14.1413,178.839
43,5422.86,14.1557,178.723
44,5640.31,14.1583,178.54
45,5866.49,14.1682,178.473
46,6101.74,14.1675,178.328
47,6346.42,14.1783,178.212
48,6600.91,14.1833,177.998
49,6865.6,14.1866,177.883
50,7140.91,14.1917,177.723
51,7427.26,14.1986,177.654
52,7725.1,14.1931,177.383
53,8034.87,14.1928,177.216
54,8357.07,14.1957,176.928
55,8692.19,14.2003,176.881
56,9040.75,14.1965,176.644
57,9403.28,14.1951,176.439
58,9780.35,14.1968,176.331
59,10172.5,14.1958,175.987
60,10580.5,14.1904,175.801
61,11004.7,14.1897,175.575
62,11446,14.1839,175.361
63,11905,14.1798,175.074
64,12382.4,14.1744,174.815
65,12878.9,14.1661,174.672
66,13395.4,14.1607,174.361
67,13932.5,14.1544,174.152
68,14491.2,14.1495,173.833
