;Scopy version,f4beeb1
;Exported on,Wednesday October 02/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
169,9.79626e+06,16.5803,-110.654
170,1.0107e+07,16.1757,-113.251
171,1.04276e+07,15.7923,-114.268
172,1.07584e+07,15.2779,-117.676
173,1.10997e+07,14.8636,-119.735
174,1.14518e+07,14.4275,-122.543
175,1.18151e+07,13.9355,-124.616
176,1.21899e+07,13.4854,-126.011
177,1.25765e+07,13.0037,-127.708
178,1.29755e+07,12.5666,-129.271
179,1.33871e+07,12.0786,-131.291
180,1.38118e+07,11.5874,-132.891
181,1.42499e+07,11.124,-134.15
182,1.47019e+07,10.6586,-135.168
183,1.51683e+07,10.2446,-136.12
184,1.56495e+07,9.78062,-138.463
185,1.61459e+07,9.27373,-139.029
186,1.66581e+07,8.84724,-140.345
187,1.71865e+07,8.38829,-141.564
188,1.77317e+07,7.91741,-142.362
189,1.82942e+07,7.47309,-145.464
190,1.88745e+07,6.99693,-145.292
191,1.94733e+07,6.48699,-145.431
192,2.0091e+07,6.02598,-146.954
193,2.07283e+07,5.65269,-147.664
194,2.13859e+07,5.36011,-149.069
195,2.20643e+07,4.82285,-148.072
196,2.27642e+07,4.44494,-150.407
197,2.34863e+07,4.04836,-150.198
198,2.42313e+07,3.78988,-153.81
199,2.5e+07,3.19221,-151.994
