;Scopy version,f4beeb1
;Exported on,Wednesday October 02/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,50000,20.4589,-0.230014
1,51586.1,20.4605,-0.20149
2,53222.5,20.4956,-0.360194
3,54910.8,20.4478,-0.613778
4,56652.7,20.4547,-0.319946
5,58449.8,20.4581,-0.426678
6,60304,20.4433,-0.487099
7,62216.9,20.4176,-0.377662
8,64190.6,20.4085,-0.369098
9,66226.8,20.3975,-0.463091
10,68327.7,20.4167,-0.614951
11,70495.2,20.4203,-0.737549
12,72731.4,20.425,-0.633634
13,75038.6,20.442,-0.507878
14,77419,20.4288,-0.748765
15,79874.8,20.4466,-0.590683
16,82408.6,20.4439,-0.569462
17,85022.8,20.4644,-1.10088
18,87719.9,20.4271,-0.81637
19,90502.5,20.4569,-0.751659
20,93373.4,20.456,-0.935625
21,96335.4,20.4469,-0.620295
22,99391.4,20.4408,-0.829182
23,102544,20.4679,-0.77776
24,105797,20.4717,-0.8824
25,109153,20.4778,-1.18951
26,112616,20.4669,-0.943193
27,116188,20.4921,-0.997897
28,119874,20.475,-0.92957
29,123677,20.4707,-1.19348
30,127600,20.4635,-0.86965
31,131647,20.4636,-1.34853
32,135824,20.4576,-1.09097
33,140132,20.4574,-0.934726
34,144577,20.4617,-1.14798
35,149164,20.4422,-1.19122
36,153895,20.4599,-1.47732
37,158777,20.4538,-1.1827
38,163814,20.4394,-1.47535
39,169011,20.444,-1.36699
40,174372,20.4333,-1.47105
41,179903,20.4572,-1.63308
42,185610,20.4513,-1.58593
43,191498,20.4617,-1.53717
44,197573,20.4458,-1.55452
45,203840,20.4553,-1.74388
46,210306,20.4574,-1.7525
47,216978,20.4644,-1.67499
48,223861,20.4436,-1.67062
49,230962,20.4525,-1.97344
50,238289,20.4414,-2.20306
51,245848,20.4583,-2.1676
52,253646,20.4409,-2.11001
53,261692,20.4522,-2.40185
54,269994,20.4466,-2.28229
55,278559,20.4537,-2.47034
56,287395,20.4433,-2.16256
57,296512,20.4511,-2.43851
58,305918,20.4319,-2.60006
59,315622,20.467,-2.30892
60,325634,20.4494,-2.81294
61,335964,20.4632,-2.74964
62,346621,20.4367,-3.20685
63,357617,20.4398,-3.00881
64,368961,20.4857,-3.00836
65,380665,20.4727,-3.14132
66,392741,20.4761,-3.61151
67,405199,20.4661,-3.67192
68,418053,20.4852,-3.67506
69,431314,20.4756,-3.36574
70,444996,20.4793,-3.53829
71,459112,20.4694,-4.03509
72,473676,20.4654,-3.98026
73,488702,20.4695,-4.84664
74,504205,20.4534,-5.09726
75,520199,20.5011,-4.22275
76,536701,20.5041,-4.75185
77,553726,20.466,-5.17438
78,571291,20.4721,-5.14929
79,589414,20.4759,-5.22952
80,608111,20.4625,-5.05985
81,627402,20.4639,-5.18179
82,647304,20.4533,-5.62937
83,667838,20.4532,-5.86533
84,689023,20.4568,-6.20735
85,710880,20.4689,-6.06579
86,733431,20.4727,-6.17075
87,756696,20.4409,-6.17593
88,780700,20.455,-6.35702
89,805466,20.45,-6.80165
90,831017,20.4389,-7.2147
91,857378,20.4504,-7.43248
92,884576,20.483,-7.57755
93,912636,20.4635,-7.90322
94,941587,20.4421,-7.89223
95,971456,20.4537,-8.28764
96,1.00227e+06,20.472,-8.02361
97,1.03407e+06,20.4841,-8.94239
98,1.06687e+06,20.5091,-9.02275
99,1.10071e+06,20.488,-9.30694
100,1.13563e+06,20.511,-9.83003
101,1.17165e+06,20.5029,-10.1145
102,1.20882e+06,20.495,-10.1542
103,1.24717e+06,20.5006,-10.4068
104,1.28673e+06,20.5051,-11.2194
105,1.32755e+06,20.4902,-10.8806
106,1.36966e+06,20.5186,-11.85
107,1.41311e+06,20.537,-11.911
108,1.45793e+06,20.5278,-12.6587
109,1.50418e+06,20.5344,-12.9405
110,1.5519e+06,20.513,-13.3698
111,1.60113e+06,20.5492,-14.1675
112,1.65192e+06,20.5393,-14.3359
113,1.70432e+06,20.5393,-14.7267
114,1.75838e+06,20.5564,-15.1345
115,1.81416e+06,20.5407,-15.5468
116,1.87171e+06,20.5752,-15.8946
117,1.93109e+06,20.5597,-16.6143
118,1.99234e+06,20.5616,-16.58
119,2.05554e+06,20.5679,-17.8963
120,2.12075e+06,20.6023,-17.9937
121,2.18802e+06,20.5998,-19.4195
122,2.25743e+06,20.622,-20.4017
123,2.32904e+06,20.6091,-20.5055
124,2.40293e+06,20.6297,-21.2951
125,2.47915e+06,20.6321,-22.1477
126,2.55779e+06,20.6311,-23.0631
127,2.63893e+06,20.6666,-23.4842
128,2.72264e+06,20.6462,-24.7947
129,2.80901e+06,20.6874,-25.5427
130,2.89812e+06,20.7117,-26.2209
131,2.99005e+06,20.7187,-27.0278
132,3.0849e+06,20.7121,-28.0565
133,3.18276e+06,20.77,-29.2779
134,3.28373e+06,20.7423,-29.9554
135,3.38789e+06,20.7517,-31.1393
136,3.49536e+06,20.7605,-33.0602
137,3.60624e+06,20.7999,-33.2112
138,3.72064e+06,20.7652,-35.094
