;Scopy version,f4beeb1
;Exported on,Monday September 30/09/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,60.5049,172
1,1040.1,39.9994,173
2,1081.81,40.0243,173
3,1125.19,40.0234,173
4,1170.31,40.0166,173
5,1217.24,39.9885,172
6,1266.05,39.9743,172
7,1316.82,39.9508,172
8,1369.62,39.9276,171
9,1424.54,39.9195,172
10,1481.67,39.9138,171
11,1541.08,39.8928,171
12,1602.88,39.9102,171
13,1667.16,39.9223,170
14,1734.01,39.9306,170
15,1803.54,39.9715,169
16,1875.86,39.9567,169
17,1951.09,39.9391,168
18,2029.32,39.944,168
19,2110.7,39.9404,167
20,2195.34,39.9084,167
21,2283.37,39.8773,166
22,2374.93,39.8374,166
23,2470.17,39.8321,165
24,2569.22,39.826,165
25,2672.25,39.7997,164
26,2779.41,39.8054,163
27,2890.86,39.7828,163
28,3006.78,39.7464,163
29,3127.36,39.7349,162
30,3252.76,39.6834,161
31,3383.2,39.6382,160
32,3518.86,39.5889,160
33,3659.97,39.5503,160
34,3806.73,39.4949,159
35,3959.38,39.4419,158
36,4118.16,39.3783,157
37,4283.29,39.3428,156
38,4455.05,39.4329,156
39,4633.7,39.4456,155
40,4819.51,39.3821,154
41,5012.77,39.3124,153
42,5213.79,39.2402,151
43,5422.86,39.1666,151
44,5640.31,39.0978,149
45,5866.49,38.9254,148
46,6101.74,38.8562,147
47,6346.42,38.7638,147
48,6600.91,38.6664,145
49,6865.6,38.5118,144
50,7140.91,38.3882,142
51,7427.26,38.2695,142
52,7725.1,38.1145,140
53,8034.87,37.9986,139
54,8357.07,37.8553,138
55,8692.19,37.7229,137
56,9040.75,37.6292,136
57,9403.28,37.4574,134
58,9780.35,37.2498,133
59,10172.5,36.8732,132
60,10580.5,36.6987,131
61,11004.7,36.4954,130
62,11446,36.2676,128
63,11905,36.0303,127
64,12382.4,35.8011,126
65,12878.9,35.5575,125
66,13395.4,35.3161,124
67,13932.5,34.7988,122
68,14491.2,34.5491,122
69,15072.3,34.2985,121
70,15676.7,34.0259,120
71,16305.4,33.7798,119
72,16959.2,33.5129,117
73,17639.3,33.2442,117
74,18346.6,32.942,116
75,19082.3,32.6725,115
76,19847.5,32.3922,114
77,20643.4,32.1173,113
78,21471.2,31.8289,112
79,22332.2,31.5281,111
80,23227.7,31.2183,110
81,24159.1,30.9103,109
82,25127.9,30.6166,109
83,26135.5,30.303,108
84,27183.6,29.9867,107
85,28273.6,29.6932,107
86,29407.4,29.3774,106
87,30586.6,29.0468,105
88,31813.1,28.7532,105
89,33088.9,28.4358,104
90,34415.7,28.1282,103
91,35795.8,27.8227,103
92,37231.2,27.5039,102
93,38724.2,27.1721,102
94,40277,26.8529,101
95,41892.1,26.5238,100
96,43572,26.2067,100
97,45319.2,25.8799,101
98,47136.5,25.5183,99
99,49026.7,25.1887,99
100,50992.6,24.8589,99
101,53037.4,24.4859,97
102,55164.2,24.1268,98
103,57376.3,23.8838,97
104,59677.1,23.5226,97
105,62070.2,23.2005,97
106,64559.2,22.8619,96
107,67148,22.6596,96
108,69840.6,22.1777,95
109,72641.2,21.8084,97
110,75554.1,21.4802,95
111,78583.9,21.1246,94
112,81735.1,20.8091,95
113,85012.6,20.5633,91
114,88421.6,20.1617,93
115,91967.4,19.7397,94
116,95655.2,19.4693,94
117,99491,19.1472,90
118,103481,18.8201,92
119,107630,18.5222,92
120,111946,18.1465,92
121,116435,17.8735,91
122,121104,17.517,91
123,125960,17.1495,91
124,131011,16.8258,91
125,136265,16.4604,90
126,141729,16.1134,90
127,147413,15.7698,90
128,153324,15.4166,89
129,159472,15.1204,89
130,165867,14.6904,88
131,172518,14.3974,88
132,179436,13.9782,88
133,186632,13.7035,88
134,194115,13.4017,86
135,201899,12.9888,86
136,209996,12.667,87
137,218416,12.2944,87
138,227175,11.9728,87
139,236285,11.5696,89
140,245760,11.3851,84
141,255615,10.9645,84
142,265865,10.6521,86
143,276526,10.3047,87
144,287615,9.87505,85
145,299148,9.61685,85
146,311144,9.28433,82
147,323621,8.94359,82
148,336598,8.59867,80
149,350095,8.31015,82
150,364134,7.78298,79
151,378736,7.56838,83
152,393923,7.20835,83
153,409719,6.90649,83
154,426149,6.81642,87
155,443238,6.21639,78
156,461012,5.85868,89
157,479498,5.30521,84
158,498726,5.03545,86
159,518725,5.38319,70
160,539526,4.23642,86
161,561161,3.99956,75
162,583663,3.73304,89
163,607068,4.05481,68
164,631411,3.07355,77
165,656731,2.90862,79
166,683066,2.53187,83
167,710457,1.74104,95
168,738946,1.8554,77
169,768578,1.39787,72
170,799398,1.06488,71
171,831453,0.510391,68
172,864795,0.239635,86
173,899473,0.252907,65
174,935542,2.29829,68
175,973057,-0.50344,39
176,1.01208e+06,-0.948846,70
177,1.05266e+06,-1.22172,69
178,1.09487e+06,-1.67743,71
179,1.13878e+06,-1.99082,69
180,1.18444e+06,-2.15078,68
181,1.23194e+06,-2.67113,67
182,1.28134e+06,-2.87816,61
183,1.33272e+06,-3.2149,65
184,1.38616e+06,-3.44248,58
185,1.44175e+06,-3.97406,60
186,1.49956e+06,-4.25055,56
187,1.55969e+06,-4.79075,49
188,1.62224e+06,-4.89375,63
189,1.68729e+06,-4.88871,47
190,1.75495e+06,-5.45934,58
191,1.82532e+06,-5.81036,54
192,1.89852e+06,-6.18345,53
193,1.97465e+06,-6.65376,60
194,2.05383e+06,-5.90283,43
195,2.13619e+06,-6.75645,51
196,2.22185e+06,-7.23312,50
197,2.31095e+06,-7.96612,34
198,2.40362e+06,-7.67,46
199,2.5e+06,-7.99436,43
