;Scopy version,f4beeb1
;Exported on,Friday September 27/09/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,39.7381,173.551
1,1040.1,39.5831,173.724
2,1081.81,39.5973,173.963
3,1125.19,39.582,173.402
4,1170.31,39.5972,172.72
5,1217.24,39.6198,173.239
6,1266.05,39.5845,172.323
7,1316.82,39.6551,172.525
8,1369.62,39.6225,171.802
9,1424.54,39.6316,171.088
10,1481.67,39.5704,171.208
11,1541.08,39.5537,170.85
12,1602.88,39.561,170.353
13,1667.16,39.5085,169.538
14,1734.01,39.5495,168.413
15,1803.54,39.5557,168.761
16,1875.86,39.5331,168.745
17,1951.09,39.5231,168.665
18,2029.32,39.4457,168.431
19,2110.7,39.4747,167.408
20,2195.34,39.4494,167.257
21,2283.37,39.4059,166.244
22,2374.93,39.3652,166.439
23,2470.17,39.3779,165.638
24,2569.22,39.3836,165.491
25,2672.25,39.3754,165.371
26,2779.41,39.4077,163.93
27,2890.86,39.3943,163.34
28,3006.78,39.3489,162.38
29,3127.36,39.3265,161.404
30,3252.76,39.333,162.334
31,3383.2,39.3164,160.278
32,3518.86,39.2478,159.731
33,3659.97,39.2078,158.855
34,3806.73,39.2022,158.167
35,3959.38,39.1914,157.255
36,4118.16,39.0999,156.607
37,4283.29,39.0835,155.397
38,4455.05,39.0699,154.215
39,4633.7,39.0573,153.701
40,4819.51,39.0596,153.147
41,5012.77,38.9512,152.256
42,5213.79,38.9483,150.769
43,5422.86,38.7283,149.977
44,5640.31,38.7527,150.171
45,5866.49,38.5848,148.149
46,6101.74,38.6009,147.184
47,6346.42,38.379,145.909
48,6600.91,38.1756,146.139
49,6865.6,38.2137,143.36
50,7140.91,38.0639,141.774
51,7427.26,37.8525,143.679
52,7725.1,37.8335,139.1
53,8034.87,37.6963,138.254
54,8357.07,37.5086,137.241
55,8692.19,37.3596,136.315
56,9040.75,37.2181,136.52
57,9403.28,37.1112,133.519
58,9780.35,37.0436,132.28
59,10172.5,36.6008,132.133
60,10580.5,36.4255,131.376
61,11004.7,36.2068,130.096
62,11446,36.0295,129.384
63,11905,35.8562,128.448
64,12382.4,35.6584,127.324
65,12878.9,35.4369,125.249
66,13395.4,35.2272,124.157
67,13932.5,34.9867,123.257
68,14491.2,34.7493,122.201
69,15072.3,34.5032,120.893
70,15676.7,34.2696,119.952
71,16305.4,33.9562,119.638
72,16959.2,33.7183,118.416
73,17639.3,33.4645,117.683
74,18346.6,33.2079,116.388
75,19082.3,32.9233,116.131
76,19847.5,32.6978,114.455
77,20643.4,32.3718,113.486
78,21471.2,32.1262,112.992
79,22332.2,31.8488,112.304
80,23227.7,31.5799,111.281
81,24159.1,31.1932,110.509
82,25127.9,30.9282,110.007
83,26135.5,30.6471,109.092
84,27183.6,30.3669,108.129
85,28273.6,30.0151,107.257
86,29407.4,29.7201,106.445
87,30586.6,29.2716,105.025
88,31813.1,29.1759,105.149
89,33088.9,28.8913,104.703
90,34415.7,28.4297,104.044
91,35795.8,28.1155,103.847
92,37231.2,27.8407,102.325
93,38724.2,27.4421,102.723
94,40277,27.0881,102.548
95,41892.1,26.7765,102.589
96,43572,26.6011,100.565
97,45319.2,26.2253,100.831
98,47136.5,25.9128,100.911
99,49026.7,25.6727,99.5567
100,50992.6,25.2514,100.635
101,53037.4,24.9449,100.328
102,55164.2,24.4119,97.1478
103,57376.3,24.2315,97.9968
104,59677.1,23.8817,97.3668
105,62070.2,23.4339,96.3831
106,64559.2,23.4602,95.9555
107,67148,22.9176,97.6711
108,69840.6,22.501,96.8992
109,72641.2,22.1423,96.2213
110,75554.1,22.1277,100.769
111,78583.9,21.7179,94.5397
112,81735.1,20.3837,96.9346
113,85012.6,20.9414,94.0875
114,88421.6,20.5077,95.8056
115,91967.4,19.832,93.1377
116,95655.2,19.3185,97.5525
117,99491,19.6282,94.6498
118,103481,19.1409,93.288
119,107630,18.7462,93.0943
120,111946,18.428,93.3312
121,116435,18.2803,91.9049
122,121104,17.8629,92.1658
123,125960,17.389,92.2233
124,131011,17.2037,91.6498
125,136265,16.7766,89.1514
126,141729,16.4636,90.6913
127,147413,16.1062,87.8206
128,153324,15.6608,90.0958
129,159472,15.2329,87.8034
130,165867,14.8245,90.7567
131,172518,14.6637,89.4891
132,179436,14.2576,89.8504
133,186632,13.9724,89.8384
134,194115,13.7054,88.254
135,201899,13.3554,88.8581
136,209996,13.064,86.8102
137,218416,12.8153,84.0911
138,227175,12.2381,87.7543
139,236285,12.1555,90.7891
140,245760,11.5875,85.8106
141,255615,11.0421,89.4443
142,265865,10.9163,88.6814
143,276526,10.2354,89.3867
144,287615,10.2109,84.9142
145,299148,9.92648,90.6303
146,311144,9.49449,85.7909
147,323621,9.07513,90.3906
148,336598,8.891,83.4673
149,350095,8.22908,86.0089
150,364134,7.61305,94.5206
151,378736,8.47864,83.4618
152,393923,7.45747,90.7281
153,409719,6.73844,78.2252
154,426149,7.14138,94.3531
155,443238,6.29969,80.7665
156,461012,6.86799,64.7768
157,479498,4.9215,86.3882
158,498726,4.97981,86.9598
159,518725,5.18798,82.8804
160,539526,5.12556,82.624
161,561161,4.22193,70.295
162,583663,5.87364,64.0537
163,607068,4.29072,57.7752
164,631411,3.53115,74.483
165,656731,4.71131,68.7169
166,683066,2.52431,51.9331
167,710457,3.9009,67.7192
168,738946,1.26413,78.9082
169,768578,1.84711,75.9805
170,799398,1.20787,73.0058
171,831453,0.963604,79.2134
172,864795,1.77492,79.2666
173,899473,2.59704,107.431
174,935542,4.96826,73.0443
175,973057,-1.07132,78.2174
176,1.01208e+06,-0.934471,65.4651
177,1.05266e+06,-1.21691,69.3738
178,1.09487e+06,-1.7684,65.5896
179,1.13878e+06,-1.98311,68.8012
180,1.18444e+06,-1.99791,65.0279
181,1.23194e+06,-1.84727,75.6394
182,1.28134e+06,-2.68672,70.3007
183,1.33272e+06,-3.06051,64.9162
184,1.38616e+06,-2.8809,70.6852
185,1.44175e+06,-4.36627,66.0079
186,1.49956e+06,-4.10662,48.9681
187,1.55969e+06,-3.50468,58.4654
188,1.62224e+06,-3.68445,67.2483
189,1.68729e+06,-4.84652,55.2162
190,1.75495e+06,-5.21668,61.6079
191,1.82532e+06,-7.67999,61.2576
192,1.89852e+06,-5.28146,35.6542
193,1.97465e+06,-6.38705,71.7807
194,2.05383e+06,-5.51874,64.7239
195,2.13619e+06,-6.09398,38.1404
196,2.22185e+06,-6.55055,51.3615
197,2.31095e+06,-4.00503,44.5732
198,2.40362e+06,-6.47662,46.4312
199,2.5e+06,-7.25581,43.8273
