;Scopy version,f4beeb1
;Exported on,Wednesday October 02/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,50000,20.3973,0.147448
1,51586.1,20.2129,-0.104204
2,53222.5,20.2494,-0.47296
3,54910.8,20.2185,-0.290529
4,56652.7,20.2598,-1.05868
5,58449.8,20.3125,0.0739669
6,60304,20.2156,-2.33217
7,62216.9,20.2414,-0.322849
8,64190.6,20.1894,-0.244078
9,66226.8,20.2534,-0.334875
10,68327.7,20.2372,-0.411354
11,70495.2,20.2692,-0.0483086
12,72731.4,20.3068,-0.189895
13,75038.6,20.2303,-0.079973
14,77419,20.1613,-1.24771
15,79874.8,20.1271,0.231451
16,82408.6,20.1399,-0.902737
17,85022.8,20.0986,-1.63062
18,87719.9,20.1065,-1.29388
19,90502.5,20.098,-0.0398528
20,93373.4,20.1144,-0.575092
21,96335.4,20.1268,0.00515656
22,99391.4,20.1154,-0.249009
23,102544,20.1773,-1.73315
24,105797,20.1446,-0.188167
25,109153,20.1727,-1.02142
26,112616,20.1606,-0.377393
27,116188,20.1726,-1.26671
28,119874,20.1548,-0.527007
29,123677,20.1822,-1.02313
30,127600,20.1978,-1.07978
31,131647,20.1853,-1.31778
32,135824,20.2128,-1.15157
33,140132,20.2016,-0.938546
34,144577,20.1877,-2.49758
35,149164,20.209,-1.20649
36,153895,20.2241,-1.36631
37,158777,20.2192,-1.30721
38,163814,20.2132,-1.31969
39,169011,20.2125,-1.22352
40,174372,20.2137,-2.31773
41,179903,20.1849,-1.21471
42,185610,20.2101,-1.10985
43,191498,20.177,-1.91931
44,197573,20.1897,-1.87429
45,203840,20.2178,-1.93228
46,210306,20.1667,-0.524402
47,216978,20.198,-1.60543
48,223861,20.1799,-0.905594
49,230962,20.1793,-2.09101
50,238289,20.1441,-2.20942
51,245848,20.133,-2.38235
52,253646,20.1284,-1.80441
53,261692,20.1463,-2.60229
54,269994,20.1361,-1.37273
55,278559,20.153,-2.36861
56,287395,20.1493,-2.61157
57,296512,20.124,-2.57541
58,305918,20.1697,-2.26773
59,315622,20.1285,-2.90743
60,325634,20.1193,-2.95086
61,335964,20.1482,-3.45508
62,346621,20.1474,-3.11773
63,357617,20.18,-3.50444
64,368961,20.1989,-3.60446
65,380665,20.1966,-3.09346
66,392741,20.2135,-4.27467
67,405199,20.2041,-3.37795
68,418053,20.2095,-2.45316
69,431314,20.1695,-2.96975
70,444996,20.2076,-4.98862
71,459112,20.2566,-4.46115
72,473676,20.2298,-2.71724
73,488702,20.153,-4.05956
74,504205,20.2173,-3.28859
75,520199,20.2362,-3.02747
76,536701,20.2517,-4.83527
77,553726,20.2409,-4.53238
78,571291,20.2389,-6.16294
79,589414,20.2599,-6.23515
80,608111,20.1472,-6.12877
81,627402,20.2106,-4.9122
82,647304,20.2106,-6.54185
83,667838,20.2208,-5.98052
84,689023,20.1686,-6.16191
85,710880,20.1956,-5.79185
86,733431,20.2199,-7.08908
87,756696,20.2163,-6.13797
88,780700,20.26,-7.38387
89,805466,20.2835,-7.39539
90,831017,20.2627,-6.80085
91,857378,20.2514,-7.25828
92,884576,20.2562,-7.70334
93,912636,20.2431,-7.80627
94,941587,20.2823,-8.67613
95,971456,20.2487,-7.18498
96,1.00227e+06,20.3572,-8.27285
97,1.03407e+06,20.3572,-8.19464
98,1.06687e+06,20.3147,-8.31409
99,1.10071e+06,20.4078,-9.00118
100,1.13563e+06,20.4003,-10.8407
101,1.17165e+06,20.3627,-8.42142
102,1.20882e+06,20.3963,-9.41399
103,1.24717e+06,20.3903,-10.4646
104,1.28673e+06,20.3444,-11.643
105,1.32755e+06,20.3755,-11.2849
106,1.36966e+06,20.3799,-11.9733
107,1.41311e+06,20.3343,-11.5754
108,1.45793e+06,20.3586,-12.5886
109,1.50418e+06,20.3331,-13.2768
110,1.5519e+06,20.3626,-11.6592
111,1.60113e+06,20.4075,-13.8908
112,1.65192e+06,20.397,-15.0403
113,1.70432e+06,20.3386,-16.5316
114,1.75838e+06,20.4252,-15.0435
115,1.81416e+06,20.2901,-17.036
116,1.87171e+06,20.4255,-17.2389
117,1.93109e+06,20.3858,-16.2917
118,1.99234e+06,20.4751,-17.4253
119,2.05554e+06,20.4728,-19.4078
120,2.12075e+06,20.4691,-19.4545
121,2.18802e+06,20.491,-17.8703
122,2.25743e+06,20.5086,-20.4448
123,2.32904e+06,20.4827,-20.0255
124,2.40293e+06,20.4117,-19.9553
125,2.47915e+06,20.4992,-21.9143
126,2.55779e+06,20.5204,-22.842
127,2.63893e+06,20.4687,-24.3443
128,2.72264e+06,20.5024,-25.1024
129,2.80901e+06,20.4964,-24.1554
130,2.89812e+06,20.4843,-27.0935
131,2.99005e+06,20.5008,-27.6806
132,3.0849e+06,20.5941,-27.2145
133,3.18276e+06,20.5866,-28.6143
134,3.28373e+06,20.5258,-28.7348
135,3.38789e+06,20.6078,-31.8036
136,3.49536e+06,20.5357,-33.2734
137,3.60624e+06,20.5914,-34.4335
138,3.72064e+06,20.5871,-34.833
139,3.83866e+06,20.5169,-34.9667
140,3.96043e+06,20.6022,-37.9662
141,4.08607e+06,20.5213,-38.1308
142,4.21569e+06,20.5265,-40.8017
143,4.34942e+06,20.6153,-40.9096
144,4.48739e+06,20.621,-44.1216
145,4.62974e+06,20.4674,-44.8758
146,4.7766e+06,20.569,-47.8551
147,4.92812e+06,20.4923,-49.0323
148,5.08445e+06,20.5694,-49.4224
149,5.24574e+06,20.4581,-53.2353
150,5.41215e+06,20.4477,-55.8153
151,5.58383e+06,20.3351,-56.4262
152,5.76096e+06,20.3071,-57.8638
153,5.94371e+06,20.2882,-61.0791
154,6.13225e+06,20.1593,-63.7159
155,6.32678e+06,20.0551,-64.9427
156,6.52748e+06,19.9513,-69.2276
157,6.73454e+06,19.8249,-73.5739
158,6.94818e+06,19.6835,-74.6805
159,7.16859e+06,19.5483,-77.3958
160,7.39599e+06,19.3946,-80.5276
161,7.6306e+06,19.1888,-84.021
162,7.87266e+06,18.9768,-86.4662
163,8.1224e+06,18.6396,-88.7017
164,8.38005e+06,18.331,-91.9896
165,8.64589e+06,18.2006,-94.2059
166,8.92015e+06,17.8407,-98.6069
167,9.20311e+06,17.4705,-102.017
168,9.49505e+06,17.0361,-102.981
169,9.79626e+06,16.7079,-104.446
170,1.0107e+07,16.3891,-110.432
171,1.04276e+07,15.9288,-108.922
172,1.07584e+07,15.5107,-112.233
173,1.10997e+07,15.052,-115.158
174,1.14518e+07,14.5282,-117.174
175,1.18151e+07,14.0134,-118.675
176,1.21899e+07,13.6263,-123.757
177,1.25765e+07,13.1177,-125.446
178,1.29755e+07,12.7052,-124.098
179,1.33871e+07,12.3114,-128.907
180,1.38118e+07,11.7509,-131.317
181,1.42499e+07,11.132,-130.616
182,1.47019e+07,10.572,-133.237
183,1.51683e+07,10.3353,-137.081
184,1.56495e+07,9.95506,-133.16
185,1.61459e+07,9.43822,-134.213
186,1.66581e+07,8.77926,-137.353
187,1.71865e+07,8.31324,-137.394
188,1.77317e+07,8.04972,-142.166
189,1.82942e+07,7.4848,-143.32
190,1.88745e+07,7.18089,-144.574
191,1.94733e+07,6.55477,-148.17
192,2.0091e+07,6.25136,-146.385
193,2.07283e+07,5.65015,-148.311
194,2.13859e+07,5.62954,-147.231
195,2.20643e+07,4.96762,-152.549
196,2.27642e+07,4.18032,-146.546
197,2.34863e+07,4.04295,-149.572
198,2.42313e+07,3.49713,-160.752
