;Scopy version,f4beeb1
;Exported on,Wednesday October 02/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,50000,20.684,-0.828332
1,51586.1,20.6754,-0.255245
2,53222.5,20.6829,-0.383159
3,54910.8,20.6859,-0.210608
4,56652.7,20.6717,-0.487102
5,58449.8,20.6734,-0.388965
6,60304,20.6738,-0.79043
7,62216.9,20.6185,-1.01448
8,64190.6,20.6393,-0.787707
9,66226.8,20.6229,-0.621674
10,68327.7,20.6581,-0.205707
11,70495.2,20.6271,-0.386798
12,72731.4,20.6411,-0.37917
13,75038.6,20.728,-0.635899
14,77419,20.7006,-0.43295
15,79874.8,20.7156,-0.79378
16,82408.6,20.7245,-0.954097
17,85022.8,20.6861,-1.0826
18,87719.9,20.7682,-0.447791
19,90502.5,20.7633,-0.97351
20,93373.4,20.7828,-1.21503
21,96335.4,20.7987,-0.679996
22,99391.4,20.8011,-1.3125
23,102544,20.6453,-0.866453
24,105797,20.6462,-0.767528
25,109153,20.6536,-0.923888
26,112616,20.6664,-1.37256
27,116188,20.664,-0.773258
28,119874,20.6563,-1.29027
29,123677,20.6496,-1.3543
30,127600,20.6405,-1.44243
31,131647,20.637,-1.41198
32,135824,20.6503,-1.37183
33,140132,20.6367,-1.51047
34,144577,20.6167,-1.3369
35,149164,20.6484,-1.25307
36,153895,20.6153,-1.30935
37,158777,20.6318,-1.4734
38,163814,20.6273,-1.28355
39,169011,20.622,-1.52601
40,174372,20.6164,-1.86626
41,179903,20.6174,-1.38152
42,185610,20.6031,-1.63481
43,191498,20.6342,-1.62946
44,197573,20.6073,-2.06713
45,203840,20.5977,-1.91577
46,210306,20.6095,-1.78126
47,216978,20.59,-2.02907
48,223861,20.6016,-2.01732
49,230962,20.6122,-2.09541
50,238289,20.6138,-2.17092
51,245848,20.5957,-2.2806
52,253646,20.5968,-2.46216
53,261692,20.5947,-2.05944
54,269994,20.6269,-2.61372
55,278559,20.5863,-2.91946
56,287395,20.5868,-2.55132
57,296512,20.5985,-2.50703
58,305918,20.5957,-2.74616
59,315622,20.6144,-3.23538
60,325634,20.5842,-3.0227
61,335964,20.5754,-3.03616
62,346621,20.5576,-2.84191
63,357617,20.6413,-2.44837
64,368961,20.6263,-3.16569
65,380665,20.6206,-3.01959
66,392741,20.6572,-3.46325
67,405199,20.6268,-3.26275
68,418053,20.5952,-3.85404
69,431314,20.613,-3.74985
70,444996,20.6006,-3.32962
71,459112,20.6444,-3.66825
72,473676,20.5966,-4.74962
73,488702,20.618,-5.15175
74,504205,20.6183,-3.87712
75,520199,20.5962,-3.60364
76,536701,20.5818,-4.81078
77,553726,20.6146,-4.63702
78,571291,20.602,-4.64795
79,589414,20.6007,-5.35607
80,608111,20.6631,-5.29562
81,627402,20.5886,-5.48475
82,647304,20.597,-5.26672
83,667838,20.5831,-6.03491
84,689023,20.5956,-6.17561
85,710880,20.6321,-5.65184
86,733431,20.6382,-5.62682
87,756696,20.5399,-6.59724
88,780700,20.5766,-6.7798
89,805466,20.6171,-6.61091
90,831017,20.6102,-7.46583
91,857378,20.6259,-6.53964
92,884576,20.5949,-7.24187
93,912636,20.6141,-7.70258
94,941587,20.636,-8.45732
95,971456,20.5843,-8.27317
96,1.00227e+06,20.5805,-8.82123
97,1.03407e+06,20.5728,-8.72661
98,1.06687e+06,20.5565,-8.88399
99,1.10071e+06,20.5876,-9.29277
100,1.13563e+06,20.5834,-10.2952
101,1.17165e+06,20.5938,-9.61825
102,1.20882e+06,20.5584,-10.3868
103,1.24717e+06,20.5944,-10.2147
104,1.28673e+06,20.5888,-10.316
105,1.32755e+06,20.6079,-11.248
106,1.36966e+06,20.5732,-11.4094
107,1.41311e+06,20.5974,-12.7512
108,1.45793e+06,20.6298,-12.1358
109,1.50418e+06,20.6046,-13.5198
110,1.5519e+06,20.616,-12.8053
111,1.60113e+06,20.6367,-13.5679
112,1.65192e+06,20.6149,-13.9219
113,1.70432e+06,20.6448,-15.3486
114,1.75838e+06,20.647,-15.4324
115,1.81416e+06,20.6326,-15.9488
116,1.87171e+06,20.6577,-16.2671
117,1.93109e+06,20.6367,-16.9177
118,1.99234e+06,20.6882,-17.0526
119,2.05554e+06,20.669,-17.6374
120,2.12075e+06,20.683,-18.0175
121,2.18802e+06,20.7408,-19.6658
122,2.25743e+06,20.7064,-20.3517
123,2.32904e+06,20.7271,-20.3984
124,2.40293e+06,20.7298,-21.7457
125,2.47915e+06,20.7317,-22.4069
126,2.55779e+06,20.747,-21.9221
127,2.63893e+06,20.7747,-23.6104
128,2.72264e+06,20.7744,-24.9341
129,2.80901e+06,20.7385,-25.4923
130,2.89812e+06,20.7728,-25.9889
131,2.99005e+06,20.7746,-27.3233
132,3.0849e+06,20.7712,-28.2329
133,3.18276e+06,20.811,-28.7047
134,3.28373e+06,20.8104,-30.4145
135,3.38789e+06,20.8098,-31.1686
136,3.49536e+06,20.8157,-32.2482
137,3.60624e+06,20.8693,-33.9891
138,3.72064e+06,20.8591,-34.7692
139,3.83866e+06,20.8743,-36.1125
140,3.96043e+06,20.9001,-37.9753
141,4.08607e+06,20.8988,-39.1239
142,4.21569e+06,20.8254,-40.7069
143,4.34942e+06,20.8781,-42.9683
144,4.48739e+06,20.8736,-43.6059
145,4.62974e+06,20.8947,-45.4792
146,4.7766e+06,20.9084,-46.5644
147,4.92812e+06,20.8419,-49.0418
148,5.08445e+06,20.8065,-51.1601
149,5.24574e+06,20.7896,-53.2561
150,5.41215e+06,20.6996,-54.2686
151,5.58383e+06,20.7299,-57.1572
152,5.76096e+06,20.6409,-59.2378
153,5.94371e+06,20.5863,-61.95
154,6.13225e+06,20.5409,-64.0474
155,6.32678e+06,20.4137,-66.724
156,6.52748e+06,20.2859,-70.1826
157,6.73454e+06,20.1719,-72.8541
158,6.94818e+06,19.9679,-76.2006
159,7.16859e+06,19.8964,-77.9178
160,7.39599e+06,19.6748,-79.7705
161,7.6306e+06,19.4883,-82.8814
162,7.87266e+06,19.2633,-85.9026
163,8.1224e+06,19.0135,-88.2926
164,8.38005e+06,18.7318,-92.6563
165,8.64589e+06,18.4336,-95.3275
166,8.92015e+06,18.1258,-97.636
167,9.20311e+06,17.7677,-99.9075
168,9.49505e+06,17.4827,-104.298
169,9.79626e+06,17.1159,-105.508
170,1.0107e+07,16.701,-107.766
171,1.04276e+07,16.3636,-110.628
172,1.07584e+07,15.8328,-114.239
173,1.10997e+07,15.3859,-116.571
174,1.14518e+07,14.9951,-118.958
175,1.18151e+07,14.574,-121.706
176,1.21899e+07,14.0401,-123.001
177,1.25765e+07,13.5836,-125.239
178,1.29755e+07,13.1341,-126.935
179,1.33871e+07,12.5758,-128.08
180,1.38118e+07,12.1488,-130.219
181,1.42499e+07,11.6012,-131.321
182,1.47019e+07,11.1405,-132.865
183,1.51683e+07,10.723,-135.414
184,1.56495e+07,10.2758,-135.158
185,1.61459e+07,9.73166,-137.492
186,1.66581e+07,9.24254,-139.961
187,1.71865e+07,8.77169,-139.49
188,1.77317e+07,8.31697,-141.703
189,1.82942e+07,7.86364,-140.083
190,1.88745e+07,7.45176,-142.876
191,1.94733e+07,6.91392,-145.69
192,2.0091e+07,6.50828,-148.825
193,2.07283e+07,6.00629,-150.335
194,2.13859e+07,5.62417,-144.206
195,2.20643e+07,5.21431,-148.281
196,2.27642e+07,4.68984,-149.877
197,2.34863e+07,4.18535,-151.471
198,2.42313e+07,3.90001,-148.475
199,2.5e+07,3.68503,-154.577
