;Scopy version,f4beeb1
;Exported on,Wednesday October 02/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
169,9.79626e+06,14.4988,-121.007
170,1.0107e+07,14.0459,-123.58
171,1.04276e+07,13.6772,-125.518
172,1.07584e+07,13.3657,-127.336
173,1.10997e+07,12.8847,-128.665
174,1.14518e+07,12.418,-130.97
175,1.18151e+07,12.0085,-132.445
176,1.21899e+07,11.5469,-133.054
177,1.25765e+07,11.1505,-134.628
178,1.29755e+07,10.7374,-135.655
179,1.33871e+07,10.3237,-136.773
180,1.38118e+07,9.88109,-138.425
181,1.42499e+07,9.47158,-139.344
182,1.47019e+07,9.07167,-140.312
183,1.51683e+07,8.67568,-141.451
184,1.56495e+07,8.28831,-142.172
185,1.61459e+07,7.88927,-143.6
186,1.66581e+07,7.5052,-144.488
187,1.71865e+07,7.0991,-145.87
188,1.77317e+07,6.72352,-147.002
189,1.82942e+07,6.31746,-148.669
190,1.88745e+07,5.60651,-150.821
191,1.94733e+07,5.12874,-150.038
192,2.0091e+07,4.72917,-149.193
193,2.07283e+07,4.44286,-149.878
194,2.13859e+07,4.12594,-149.829
195,2.20643e+07,3.74802,-150.44
196,2.27642e+07,3.45261,-151.17
197,2.34863e+07,3.15772,-151.33
198,2.42313e+07,2.77825,-153.611
199,2.5e+07,2.65278,-152.74
